OTUID	ODIWGS01	ODIWGS02	ODIWGS03	ODIWGS04	ODIWGS05	ODIWGS06	ODIWGS07	ODIWGS08	ODIWGS09	ODIWGS10	ODIWGS11	ODIWGS12	ODIWGS13	ODIWGS14	ODIWGS15	ODIWGS16	ODIWGS17	ODIWGS18	ODIWGS19	ODIWGS20	ODIWGS21	ODIWGS22	ODIWGS23	ODIWGS24	ODIWGS25	ODIWGS26	ODIWGS27	ODIWGS28	ODIWGS29	ODIWGS30	ODIWGS31	ODIWGS32	ODIWGS33	ODIWGS34	ODIWGS35	ODIWGS36	ODIWGS37	ODIWGS38	ODIWGS39	ODIWGS40	ODIWGS41	ODIWGS42	ODIWGS43	ODIWGS44	ODIWGS45	ODIWGS46	ODIWGS47	ODIWGS48	ODIWGS49	ODIWGS50	ODIWGS51	ODIWGS52	ODIWGS53	ODIWGS54	ODIWGS55	ODIWGS56	ODIWGS57	ODIWGS58	ODIWGS59	ODIWGS60	ODIWGS61	ODIWGS62	ODIWGS63	ODIWGS64	ODIWGS65	ODIWGS66	ODIWGS67	ODIWGS68	ODIWGS69	ODIWGS70	ODIWGS71	ODIWGS72	ODIWGS73	ODIWGS74	ODIWGS75	ODIWGS76	ODIWGS77	ODIWGS78	ODIWGS79	ODIWGS80	ODIWGS81	ODIWGS82	ODIWGS83	ODIWGS84	ODIWGS85	ODIWGS86	ODIWGS87	ODIWGS88	ODIWGS89	ODIWGS90	ODIWGS91	ODIWGS92	ODIWGS93
1.1.1.1	16	37	0	15171	1443	0	12	30	107135	41509	2840	1642	12438	15650	30	465	0	90278	0	0	4	3362	27	6890	122	17	6585	9108	27093	1640	23	0	205	25860	698	0	641	74602	35423	5	56680	563	11	4790	9	29	181305	245	6	5	33	0	1210	63	42	0	70	51891	47	47923	0	3551	51	0	18438	34	18	169610	0	3510	145	32193	0	301	13361	0	0	0	19	2422	35	35	11	55	4	27	99572	0	36764	31	635	0	73999
1.1.1.100	13	32	16	20521	2691	5	10	46	249523	86015	938	2281	10751	20442	32	2073	39	122711	0	88	0	1771	209	3287	889	12	7598	16580	34734	230	25	0	654	14019	344	7	2229	111138	16322	5	44470	873	0	4866	0	43	129574	176	38	19	0	1	1851	34	5	0	45	88933	14	68906	11	5867	56	0	36730	64	457	213590	9	21954	788	17767	14	350	14765	41	8	0	26	5221	66	39	14	71	0	40	176525	0	17782	14	5401	18	37826
1.1.1.101	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.102	0	0	0	0	0	0	0	0	53	96	0	130	0	475	0	0	0	0	0	0	0	847	0	0	0	0	0	0	0	0	0	0	0	1006	0	0	0	807	0	0	0	15	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2203
1.1.1.103	4	0	0	6982	108	3	13	0	15753	5441	0	351	972	1346	6	638	0	9547	5	4	4	258	8	436	0	0	1222	3904	7274	133	3	0	368	640	20	5	471	1113	3479	0	31041	167	0	1699	7	0	16810	157	0	0	0	2	124	0	0	0	4	13543	7	13150	0	1239	0	0	1553	23	14	79660	0	3050	126	503	0	4	5957	7	0	0	0	312	17	5	0	28	5	0	10868	0	5344	21	865	0	2904
1.1.1.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.11	0	0	0	125	21	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2272	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	350	0	0	0	0	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
1.1.1.116	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	235	0	0	0	0	396	0	0	0	0	0	0	0	0	2686	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1110	0	1058	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1317	0	0	0	0
1.1.1.122	0	0	0	710	71	0	0	106	0	0	0	0	38	357	0	438	0	72	0	0	0	0	0	0	0	0	83	0	61	0	0	0	26	0	0	0	82	39	0	0	17	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	88	21	12	220	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1306	0	0
1.1.1.125	0	0	0	163	0	0	0	0	112	0	0	13	0	40	0	48	0	23	0	0	0	411	0	17	0	0	24	0	63	0	0	0	0	92	0	0	0	27	95	0	552	5	0	137	0	0	0	35	0	0	0	0	3	0	0	0	0	42	0	49	0	0	0	0	0	0	0	194	0	48	0	8	0	0	333	0	0	0	0	0	0	0	0	0	0	0	145	0	139	0	135	0	279
1.1.1.127	0	0	4	1796	173	0	4	0	455	96	0	106	2368	1193	0	317	0	6827	0	2	0	0	6	9	0	0	935	150	39	0	0	0	0	21	41	0	799	330	59	1	18978	303	0	285	0	0	28046	416	0	0	0	0	3	0	0	0	0	76	0	0	0	0	0	0	468	0	0	30261	0	1110	36	80	0	0	6579	0	0	0	0	173	1	0	5	0	0	0	2762	0	77	102	427	0	14
1.1.1.130	6	0	0	1348	57	0	0	0	925	300	0	0	1178	505	0	86	0	4687	0	0	0	0	0	890	0	0	1496	174	850	0	0	0	0	151	0	0	138	4666	4446	104	8241	105	0	270	0	0	0	0	0	0	0	0	0	68	0	0	0	1679	0	1173	0	118	0	0	68	0	0	22709	0	955	0	141	0	0	3060	0	0	0	0	46	0	0	0	0	0	0	1313	0	4169	0	177	0	273
1.1.1.131	0	0	0	1327	94	0	9	51	57	0	0	256	158	684	0	291	3	315	0	0	0	0	0	5	13	0	300	0	168	0	0	0	0	16	0	0	0	197	53	0	0	0	0	216	0	0	40	0	0	0	0	0	0	0	0	0	0	411	0	186	0	119	0	0	5449	0	0	167	0	0	160	434	0	142	0	0	0	0	0	643	5	0	0	0	0	0	17010	0	201	0	1151	0	70
