Species	AssemblyMethod	Sample	N50
Eggerthella-lenta	HYBRID	ODIWGS93	218469
Eggerthella-lenta	HYBRID	ODIWGS89	114042
Eggerthella-lenta	HYBRID	ODIWGS39	97060
Escherichia-coli	DENOVO	ODIWGS68	143039
Enterocloster-bolteae	HYBRID	ODIWGS18	106914
Limosilactobacillus-fermentum	ALGN-ASM	ODIWGS47	99454
Bifidobacterium-longum	DENOVO	ODIWGS34	97461
Bifidobacterium-longum	HYBRID	ODIWGS72	92761
Bifidobacterium-longum	DENOVO	ODIWGS93	88986
Bifidobacterium-longum	DENOVO	ODIWGS87	82727
Collinsella-aerofaciens	HYBRID	ODIWGS60	97068
Collinsella-aerofaciens	HYBRID	ODIWGS58	87976
