Sample,CARD Short name,Donor,Milieu,Tissue
ODIWGS01,Mrx,OD8,Lumen,Duodenum
ODIWGS02,CRP,OD2,Mucosa,DescendingColon
ODIWGS04,tet(M),OD3,Lumen,AscendingColon
ODIWGS04,TEM-126,OD3,Lumen,AscendingColon
ODIWGS04,mdtO,OD3,Lumen,AscendingColon
ODIWGS04,qacE,OD3,Lumen,AscendingColon
ODIWGS04,mdtB,OD3,Lumen,AscendingColon
ODIWGS04,CblA-1,OD3,Lumen,AscendingColon
ODIWGS04,emrB,OD3,Lumen,AscendingColon
ODIWGS04,TolC,OD3,Lumen,AscendingColon
ODIWGS04,mdtC,OD3,Lumen,AscendingColon
ODIWGS04,ErmF,OD3,Lumen,AscendingColon
ODIWGS04,mdtE,OD3,Lumen,AscendingColon
ODIWGS04,aadS,OD3,Lumen,AscendingColon
ODIWGS04,cph,OD3,Lumen,AscendingColon
ODIWGS04,tet(X5),OD3,Lumen,AscendingColon
ODIWGS04,marA,OD3,Lumen,AscendingColon
ODIWGS04,qacL,OD3,Lumen,AscendingColon
ODIWGS04,mdtF,OD3,Lumen,AscendingColon
ODIWGS04,cpxA,OD3,Lumen,AscendingColon
ODIWGS04,tet(44),OD3,Lumen,AscendingColon
ODIWGS04,tet(O/M/O),OD3,Lumen,AscendingColon
ODIWGS04,ugd,OD3,Lumen,AscendingColon
ODIWGS04,tet(W/N/W),OD3,Lumen,AscendingColon
ODIWGS04,tet(W),OD3,Lumen,AscendingColon
ODIWGS04,msbA,OD3,Lumen,AscendingColon
ODIWGS04,tet(X3),OD3,Lumen,AscendingColon
ODIWGS04,Mef(En2),OD3,Lumen,AscendingColon
ODIWGS04,tet(37),OD3,Lumen,AscendingColon
ODIWGS04,mefH,OD3,Lumen,AscendingColon
ODIWGS04,acrD,OD3,Lumen,AscendingColon
ODIWGS04,AAC(6')-Ib7,OD3,Lumen,AscendingColon
ODIWGS04,tet(Q),OD3,Lumen,AscendingColon
ODIWGS04,lnuC,OD3,Lumen,AscendingColon
ODIWGS04,eptA,OD3,Lumen,AscendingColon
ODIWGS04,sul2,OD3,Lumen,AscendingColon
ODIWGS04,abeS,OD3,Lumen,AscendingColon
ODIWGS04,dfrF,OD3,Lumen,AscendingColon
ODIWGS04,tet(O/W),OD3,Lumen,AscendingColon
ODIWGS04,baeR,OD3,Lumen,AscendingColon
ODIWGS04,AcrF,OD3,Lumen,AscendingColon
ODIWGS04,CRP,OD3,Lumen,AscendingColon
ODIWGS04,emrY,OD3,Lumen,AscendingColon
ODIWGS04,AcrS,OD3,Lumen,AscendingColon
ODIWGS04,tet(32),OD3,Lumen,AscendingColon
ODIWGS04,APH(6)-Id,OD3,Lumen,AscendingColon
ODIWGS04,tet(40),OD3,Lumen,AscendingColon
ODIWGS04,mdtG,OD3,Lumen,AscendingColon
