Homo sapiens	Saccharomyces cerevisiae	Candida albicans	Botrytis cinerea	Thermothielavioides terrestris	Aspergillus oryzae	Toxoplasma gondii	Plasmodium sp. gorilla clade G2	Trypanosoma brucei	Leishmania infantum	Staphylococcus aureus	Priestia aryabhattai	Streptococcus pneumoniae	Streptococcus thermophilus	Streptococcus suis	Limosilactobacillus fermentum	Enterococcus faecalis	Enterococcus faecium	Blautia wexlerae	Blautia massiliensis	Blautia sp. SC05B48	Blautia obeum	Anaerostipes hadrus	[Ruminococcus] torques	[Ruminococcus] gnavus	[Eubacterium] rectale	Anaerobutyricum hallii	Coprococcus comes	[Clostridium] scindens	Dorea longicatena	Enterocloster bolteae	Oscillospiraceae bacterium	Ruminococcus sp. SR1/5	Clostridium sp. AWRP	Clostridium neonatale	Eubacterium callanderi	Mogibacterium diversum	uncultured Clostridia bacterium	Erysipelatoclostridium ramosum	[Clostridium] innocuum	Erysipelotrichaceae bacterium 66202529	Parvimonas micra	Actinomyces graevenitzii	Schaalia odontolytica	Bifidobacterium longum	Eggerthella lenta	Collinsella aerofaciens	Escherichia coli	Klebsiella pneumoniae	Polynucleobacter sp. MG-Unter2-18	Bacteroides thetaiotaomicron	Bacteroides uniformis	Phocaeicola dorei	Phocaeicola vulgatus	Parabacteroides distasonis	Parabacteroides merdae	Tepiditoga spiralis	uncultured human fecal virus	Sellimonas intestinalis	Clostridium perfringens	Clostridiaceae bacterium Marseille-Q4149	Lactococcus lactis	Limosilactobacillus oris	Megasphaera massiliensis	Bifidobacterium adolescentis	Bifidobacterium pseudocatenulatum	Bifidobacterium bifidum	Collinsella stercoris	Bacteroides salyersiae	Listeria monocytogenes	Streptococcus lutetiensis	Streptococcus infantarius	Christensenella minuta	Streptococcus sp. HSISS1	Streptococcus equinus	Streptococcus gallolyticus	Lacticaseibacillus paracasei	Limosilactobacillus mucosae	Arachnia rubra	Methanobrevibacter smithii
Homo sapiens	NA	0.284486700906311	0.0459063621289796	0.37835391745771	0.16494997987712	0.250274023363672	0.650939912126754	-0.0318322442096914	0.582027891970703	0.317083293172579	-0.429820896346451	-0.413215955453736	-0.407345134309943	-0.622346838413806	-0.618338305656247	-0.310176560067108	-0.0542038553101885	-0.647832362160931	-0.682012033361773	-0.448489649419484	-0.471657002437088	-0.772729539405083	-0.468104116746983	-0.736784087483967	-0.518937391500537	-0.552692719723418	-0.510135674130155	-0.66325621964973	-0.582600863706656	-0.535780995901037	-0.038503621884513	-0.741615224614623	-0.444465684657245	-0.480396777763063	-0.836056304461	-0.19385450873945	-0.432205376553565	-0.748794129974149	-0.58263813456838	-0.526262915826114	-0.120256093484355	-0.312588909597456	-0.42750184144826	-0.52226773335657	-0.135063186390534	-0.607656246003511	-0.567127309570165	-0.296451305013481	0.0666765865842736	0.284968497002163	-0.0469318266024526	-0.210972791816133	-0.22916008745273	-0.112308019031551	-0.169858116705905	-0.00719689971693317	-0.240495857771722	-0.727527547045578	-0.434423949763662	-0.614806437046203	-0.439520682479987	-0.522756409331101	-0.301314832197468	-0.353625432622399	0.041090388222928	0.0347909679196279	0.00248291822268775	-0.554008075620553	0.0607214192858301	-0.308583603454375	-0.235167839012616	-0.255098445956537	-0.772225238242785	-0.534590950785084	-0.325866916893352	-0.49241382483745	-0.617347042110778	0.0109778051184747	-0.35711451127257	0.0377779570883116
Saccharomyces cerevisiae	0.284486700906311	NA	0.118647393772207	0.868578334112023	0.612264264534011	0.613245353892555	0.652728533236904	0.19606306617596	0.516880798980592	0.730491721548151	-0.139040072732468	0.271905232014121	0.237721348910757	0.0428374357940816	-0.236522275981867	-0.0935205504634841	0.0403422537366576	-0.332337825501	-0.0891707177817089	0.152334812025949	0.142279072710726	-0.155078063691473	0.158367660182684	-0.277971737339937	-0.250840851056899	-0.258586068925959	-0.219280918722578	-0.229318677445591	-0.232117503331791	-0.218489103240831	-0.158404971099401	-0.260661152113273	0.15605120042037	0.175926069164581	-0.190795921198269	-0.106150579825284	-0.109969831154715	-0.311570756990505	0.0908568932032087	-0.262295307234885	-0.0667206388225133	0.0917338405875872	0.177016733955097	0.0748792497003423	-0.0653830385183709	-0.26987989859192	-0.292407743406793	-0.137407595109181	-0.103308344885479	0.736141370525379	-0.146037383807856	-0.127450582836486	-0.106237002297895	-0.213959408272278	-0.170075865241167	-0.197365416257215	0.339821330052663	-0.0531407283689931	-0.220273001401224	-0.271342172362965	-0.206950235073761	-0.242638866717539	-0.221302246867619	-0.0262250638123007	-0.0810668658692674	-0.0205782102048468	-0.010408920236104	-0.194625682271256	0.169641100755802	-0.0913645090498546	-0.09615813552433	-0.084711463628378	-0.312348216362067	-0.2117297523558	-0.148554340657075	-0.228140031424093	-0.194045106518308	0.0396869930523179	0.157966245231355	0.0460265462858656
Candida albicans	0.0459063621289796	0.118647393772207	NA	0.233061485496129	-0.0828615804616988	0.168088329624105	0.10040573336731	-0.133272625790451	-0.0190978233818008	0.250764890677408	-0.0583663138654899	0.0739326135831986	0.165010538596913	-0.108563525392931	-0.0581387453911206	-0.0428084594391474	0.0916778527997576	-0.0817780235619452	-0.101199050418691	-0.0704080739506411	-0.0755113006155715	-0.119466810351083	-0.0846515938068176	-0.105510760837731	-0.0756521059072647	-0.081888281172963	-0.0741794338769923	-0.0984703783064727	-0.0213025408544366	-0.0835047794518526	0.163350276313213	-0.0935351530253225	-0.0713701375921564	-0.0336796759865468	-0.0974835831723928	0.0467591667381983	0.0683179001737165	-0.0853997864483171	-0.0877046090962285	-0.0690059620395735	0.409668631085986	0.11644950329172	-0.0691905948467713	-0.0268913814271605	0.509632884708965	-0.0327344702478357	-0.0758543462220819	-0.0748929349815322	-0.0663381229325252	0.308263956673487	-0.077785590184329	-0.0489979085564839	-0.0615975185020756	-0.031417757158164	-0.0492376006104733	-0.0786639866631424	-0.0615955723848535	-0.108226672368855	-0.0492436340377735	0.0266034471506434	-0.0559621642295352	-0.07282082254688	0.0455944112362496	-0.09325218573078	0.137594942190258	0.186164931495369	0.179180589458223	0.285896936726936	-0.0608570532327206	-0.0437187256043479	0.0523559725806597	0.0514219835381354	-0.0580339403463525	-0.0516388594517591	0.0188365068210812	-0.0439581154697395	0.496675972908093	0.112976077630778	-0.0564522338948324	0.113477287630677
Botrytis cinerea	0.37835391745771	0.868578334112023	0.233061485496129	NA	0.533908298209318	0.706139978186214	0.702168548898985	0.0471721478022776	0.598354938803792	0.876604076441758	-0.17480788235539	0.0877415968866538	0.133648606454243	-0.171552911897741	-0.24151967568729	-0.141481540291159	0.0886569668780992	-0.283845376757486	-0.223799204048987	-0.0962680672232817	-0.10546055063749	-0.279507432640293	-0.0920702375970475	-0.292561765584753	-0.225801546454405	-0.233568700615303	-0.201185757015201	-0.25376009794391	-0.22075820613613	-0.212309906482145	-0.115821379597917	-0.298015121276499	-0.0932123147596097	0.00973186036865257	-0.305461736319587	-0.0994961232715388	-0.158504301602196	-0.302995526498507	-0.131355670125932	-0.230110868182205	-0.0489259187907171	-0.0547472414485561	-0.0710760296406344	-0.12851388192886	-0.0230603036854123	-0.255450642876572	-0.248298154420289	-0.128055862946732	-0.143184225546224	0.841261289301613	-0.181329537690653	-0.12577919273285	-0.124135854639948	-0.221165399784515	-0.173849293854254	-0.146531794759652	0.173514654726086	-0.228167603191214	-0.191069081165116	-0.238763063878997	-0.18485169898802	-0.232029495654674	-0.179430486686313	-0.0668018510844585	-0.0498830728729658	0.0359216820978353	0.0734497632531051	-0.158457119127343	0.0471341142300133	-0.139754697238255	-0.0238104727868864	-0.0240242901227191	-0.306685643607836	-0.208340943512318	-0.0845900166080615	-0.190942349701121	-0.137879688988513	0.107655514132279	-0.121029700765167	0.112464941948105
Thermothielavioides terrestris	0.16494997987712	0.612264264534011	-0.0828615804616988	0.533908298209318	NA	0.560009183321575	0.328854885528104	0.592722681140075	0.26903155838517	0.570574336557381	-0.197885763800134	0.574509559832413	0.232127942693598	0.234337422803551	-0.135361506261067	-0.154449278763978	-0.215626112019718	-0.274381809393641	0.0338148969636122	0.302506416199245	0.295358374068402	-0.00931984381127983	0.317910687643427	-0.176301029637325	-0.212864276973027	-0.143817202679994	-0.170375614108429	-0.110729745339462	-0.183573579273045	-0.152423530495064	-0.0896995666315229	-0.107717655290669	0.305122598332396	0.526653594132506	-0.0119528651353641	-0.108693979966142	0.110753748104369	-0.192965919475762	0.348283335711165	-0.225628311625595	-0.0533269916210661	0.353548367052547	0.401402750854768	0.367292063515939	-0.101557703129655	-0.233540190552789	-0.230319304284685	-0.106033880889216	-0.049493488742076	0.331599578950135	-0.0664341620252965	-0.0779269568545622	-0.0503479730674669	-0.0773477160104241	-0.089098832987406	-0.0652519666449953	0.689837801837278	0.127702420015987	-0.186909608014231	-0.211484446097314	-0.113503612353939	-0.178942917011572	-0.227851803823609	0.0436948689529393	-0.15185911710751	-0.240755134656487	-0.185770840425757	-0.225895142999007	0.163655429096728	-0.153625488912286	-0.240792785271451	-0.210828066795889	-0.21041596461643	-0.123321358506821	-0.236754725389066	-0.224537929326707	-0.173641121802768	-0.161224205358151	0.396530647732539	-0.155371614514485
Aspergillus oryzae	0.250274023363672	0.613245353892555	0.168088329624105	0.706139978186214	0.560009183321575	NA	0.314829176619672	0.232263624977301	0.285899155225625	0.687472974959387	-0.178395209884018	0.243181436874411	0.113004537696267	0.0438881526432638	-0.18184743738365	-0.13529751862801	0.175426157193596	-0.238457211075326	-0.0987457444856068	0.0958159324448704	0.0878132850468956	-0.128581047215763	0.110477335624763	-0.222029769376556	-0.203952710242564	-0.21290597850163	-0.182048730898139	-0.183884303721242	-0.197924518101211	-0.177139992339174	0.216904606132664	-0.21629980261315	0.0992506860430403	0.214796160691555	-0.168557940802703	-0.0438131165958219	0.211886790965971	-0.252328742053961	0.111814887669912	-0.213428141330007	-0.0878568018029061	0.343506343401069	0.164351033618909	0.200661225454443	-0.105812258458912	-0.222124910863575	-0.213133273611339	-0.0496660503209047	-0.145106169018325	0.431163858175984	-0.156067013682151	-0.0815869030392274	-0.0835059085781965	-0.113104234003566	-0.0975044211689896	-0.181500505852486	0.37161807486595	-0.0621381839247242	-0.176544965321075	-0.200257068517863	-0.185130838293964	-0.184409601086104	0.0275160540075389	-0.0518509053104267	0.208568413289365	0.195430292244619	0.25028601376597	-0.206932221001333	0.0510655580098833	-0.138195772033865	0.0509431875693747	0.0656350099010663	-0.266284034616848	-0.149840306101953	-0.0227604742165404	-0.129385455095209	0.0382026528878396	0.191179191007065	0.106356832059869	0.204463470376642
Toxoplasma gondii	0.650939912126754	0.652728533236904	0.10040573336731	0.702168548898985	0.328854885528104	0.314829176619672	NA	0.0959540327215446	0.85882917378881	0.465522152253017	-0.270368410577911	-0.148855233558483	-0.0340674854171033	-0.37658049898698	-0.403097841313979	-0.208268874281662	-0.0591721593557617	-0.443444929700112	-0.419133886768684	-0.266613576704874	-0.281518579900217	-0.49671090789618	-0.264923611728256	-0.477679970567812	-0.346844868242472	-0.358063128745172	-0.320106738038761	-0.425751390231962	-0.366129737666762	-0.341876532498243	-0.236476141956245	-0.483983714506946	-0.26230606635641	-0.240218959163533	-0.537752654282301	-0.152204479304806	-0.386765333306608	-0.483818164190278	-0.335814428513916	-0.352762498858594	-0.121534778755746	-0.272834667896416	-0.246390547640344	-0.356945707291837	-0.0954291192803773	-0.400899842567811	-0.384527799406627	-0.165530690441603	-0.0536978132896477	0.734365657106653	-0.1301974766489	-0.161542562496251	-0.165080000771296	-0.223291871866234	-0.192113090819778	-0.101960167582283	-0.0589228923043707	-0.447262552897552	-0.29345639536696	-0.419213302891146	-0.272120072391653	-0.337573554268663	-0.319246577691167	-0.175262593093157	-0.140585008084389	-0.0955075333504479	-0.101233008332897	-0.30712956788869	0.0615534332118777	-0.204171708254015	-0.191884429572091	-0.203901142896591	-0.498205154352158	-0.34912302325395	-0.244988878397483	-0.350157140782497	-0.456438866746372	-0.0331976329987413	-0.267414455315687	-0.0253381883777047
Plasmodium sp. gorilla clade G2	-0.0318322442096914	0.19606306617596	-0.133272625790451	0.0471721478022776	0.592722681140075	0.232263624977301	0.0959540327215446	NA	0.0610502185889509	0.052813449098255	-0.150080867307307	0.661877964886482	0.399728137482523	0.546660248958961	-0.0592091266388956	-0.103580954757723	-0.138944059137187	-0.227588416617637	0.274941545078586	0.653858736594256	0.648735626074494	0.202259534038838	0.663911111533698	-0.0877142978780418	-0.152276920241149	-0.171544355644222	-0.139104497522634	-0.0389004754475078	-0.141398316331061	-0.105289977890275	-0.137765566466495	-0.0239392177399978	0.656116065873117	0.686962929156054	0.203005205804738	-0.142801615118786	0.224564405721987	-0.1610858651359	0.671693303397107	-0.175635820688771	0.00443010622224054	0.556127247793136	0.733650062620364	0.649673997982666	-0.114823598227722	-0.167162383319254	-0.224190753214337	-0.107462521639182	-0.137374318904037	-0.038177889987521	-0.166840241175046	-0.113489322669018	-0.107055161041436	-0.193680220991228	-0.150989523889555	0.0662129686737136	0.729637018519246	0.406284324313371	-0.149364061337196	-0.155254291659498	-0.162860570882389	-0.134530277939073	-0.218174060779934	-0.0791188021454393	-0.157411771427075	-0.200484185361915	-0.140211701798732	-0.220447572701112	0.0691199052497192	-0.102531223476225	-0.171205208232372	-0.124728486751445	-0.125918570971019	-0.0770037297957005	-0.175929194624865	-0.144624391494836	-0.0672043164796799	-0.102768753784065	0.651461570007888	-0.105427681420108
Trypanosoma brucei	0.582027891970703	0.516880798980592	-0.0190978233818008	0.598354938803792	0.26903155838517	0.285899155225625	0.85882917378881	0.0610502185889509	NA	0.28875266887433	-0.236150862792087	-0.162894372526019	0.050146066833779	-0.329490136781351	-0.356224751524271	-0.186141197777603	-0.00307739381444119	-0.387389042704914	-0.360496526596359	-0.234344043809853	-0.247640255388693	-0.441260257426402	-0.229087243512329	-0.408828979613291	-0.309117874706681	-0.309885142645852	-0.266866083095163	-0.359626579010161	-0.316310873245773	-0.290780577846393	-0.166666831176792	-0.423820418646065	-0.23020524689307	-0.214073828880239	-0.478753078563855	-0.149971836208606	-0.32304016365353	-0.42265308615166	-0.290806992437033	-0.313157500481036	-0.126264570707123	-0.231361487770403	-0.216280484056892	-0.307601095441989	-0.112535892185031	-0.366305743988126	-0.327080846801218	-0.136345721050912	-0.131663374111596	0.608591131035977	-0.187065747889198	-0.159456055952469	-0.151456780271777	-0.259178871311199	-0.206826304759284	-0.103527793255206	-0.0264513742689901	-0.387338986384391	-0.266173349871673	-0.366488168264607	-0.236117187143199	-0.293760935966386	-0.210583411599361	-0.11150151254135	-0.0369438922338906	0.013986208608546	-0.0393342496951547	-0.309010117793189	0.103215958248588	-0.183236447804797	-0.139277533066298	-0.154918085668311	-0.447607289816774	-0.303803202539221	-0.200921173400916	-0.30847207440302	-0.46579436459651	0.00569335781021005	-0.233660512025258	0.00737616026069042
Leishmania infantum	0.317083293172579	0.730491721548151	0.250764890677408	0.876604076441758	0.570574336557381	0.687472974959387	0.465522152253017	0.052813449098255	0.28875266887433	NA	-0.150943210947584	0.0980509828092387	0.0148035391667802	-0.124533538517706	-0.191350531129784	-0.11749118405252	0.0401825756655287	-0.229574021496231	-0.186481489008524	-0.0645529183614783	-0.0716022614096662	-0.226304588769978	-0.0634559185983027	-0.250273503669999	-0.185631427900125	-0.203733013369071	-0.179919607617516	-0.216191310150709	-0.193397726144407	-0.178740457353027	-0.120789694288878	-0.257384251266539	-0.0621256559404694	0.0383817259174187	-0.23913872133281	-0.0967591168220553	-0.107902188995582	-0.262675558114412	-0.0920648259089759	-0.190253013035964	-0.0667193688777974	-0.0211096892381782	-0.0359871231059402	-0.0816056066224607	-0.0640050916767478	-0.218358141966514	-0.212160824457963	-0.115992508285624	-0.116618564671443	0.613800870229087	-0.154663544716265	-0.10765307074092	-0.124170130343165	-0.177935850741006	-0.144902783618288	-0.079564787576109	0.165533334557715	-0.184516437000908	-0.154449543042849	-0.199600729476809	-0.181336451064096	-0.203031051202092	-0.186171678945739	-0.124620600939995	-0.0964464562541418	-0.047045335761958	0.0360885308602093	-0.159549138356985	-0.0586145645230075	-0.116923233745036	-0.0369541563131579	-0.0287585906805656	-0.249368107543366	-0.166126490140911	-0.0757169724199589	-0.154658122552836	-0.046883637507333	0.0724644216096243	-0.045593933486423	0.0763745550933702
