Homo sapiens	Saccharomyces cerevisiae	Candida albicans	Botrytis cinerea	Thermothielavioides terrestris	Aspergillus oryzae	Toxoplasma gondii	Plasmodium sp. gorilla clade G2	Trypanosoma brucei	Leishmania infantum	Staphylococcus aureus	Priestia aryabhattai	Streptococcus pneumoniae	Streptococcus thermophilus	Streptococcus suis	Limosilactobacillus fermentum	Enterococcus faecalis	Enterococcus faecium	Blautia wexlerae	Blautia massiliensis	Blautia sp. SC05B48	Blautia obeum	Anaerostipes hadrus	[Ruminococcus] torques	[Ruminococcus] gnavus	[Eubacterium] rectale	Anaerobutyricum hallii	Coprococcus comes	[Clostridium] scindens	Dorea longicatena	Enterocloster bolteae	Oscillospiraceae bacterium	Ruminococcus sp. SR1/5	Clostridium sp. AWRP	Clostridium neonatale	Eubacterium callanderi	Mogibacterium diversum	uncultured Clostridia bacterium	Erysipelatoclostridium ramosum	[Clostridium] innocuum	Erysipelotrichaceae bacterium 66202529	Parvimonas micra	Actinomyces graevenitzii	Schaalia odontolytica	Bifidobacterium longum	Eggerthella lenta	Collinsella aerofaciens	Escherichia coli	Klebsiella pneumoniae	Polynucleobacter sp. MG-Unter2-18	Bacteroides thetaiotaomicron	Bacteroides uniformis	Phocaeicola dorei	Phocaeicola vulgatus	Parabacteroides distasonis	Parabacteroides merdae	Tepiditoga spiralis	uncultured human fecal virus	Sellimonas intestinalis	Clostridium perfringens	Clostridiaceae bacterium Marseille-Q4149	Lactococcus lactis	Limosilactobacillus oris	Megasphaera massiliensis	Bifidobacterium adolescentis	Bifidobacterium pseudocatenulatum	Bifidobacterium bifidum	Collinsella stercoris	Bacteroides salyersiae	Listeria monocytogenes	Streptococcus lutetiensis	Streptococcus infantarius	Klebsiella oxytoca	Christensenella minuta	Streptococcus sp. HSISS1	Streptococcus equinus	Streptococcus gallolyticus	Lacticaseibacillus paracasei	Limosilactobacillus mucosae	Arachnia rubra	Citrobacter koseri	Klebsiella michiganensis	Methanobrevibacter smithii
Homo sapiens	NA	0.443256846291216	-0.289006011220745	0.456912903553485	-0.0887726381073782	0.282865067357383	0.720595111098936	0.0822976944639283	0.645584412286359	0.295484080112114	-0.312652248264725	-0.503278285314487	-0.310945746764546	-0.458590917389989	-0.479172942988222	-0.395069061902165	-0.216590332837949	-0.438787591187424	-0.591189248339173	-0.528765714556651	-0.570702394849344	-0.725033215703542	-0.396710774178632	-0.726770312641142	-0.398604261787975	-0.52874722477294	-0.56378917975702	-0.636241557304615	-0.479138325794596	-0.528145301500765	-0.403326646360624	-0.716769424192039	-0.514296124357796	-0.437047098052194	-0.751714892530377	-0.361167124705978	-0.462874837262983	-0.72804991706226	-0.550331887259232	-0.459038679882123	-0.352007783479099	-0.398372346246302	-0.322456765185073	-0.473388746856688	-0.506591548417306	-0.67965133030559	-0.656333150578009	-0.284965982401873	0.0318023268561867	0.389061928543743	-0.0182338959450615	-0.377234520566808	-0.113715590171808	-0.32096374279852	-0.33957354156913	-0.0527040397154566	-0.27328176555688	-0.653876251344156	-0.372590390054641	-0.493412322672253	-0.512092588592655	-0.021545044058554	-0.422092487874559	-0.383082762317406	-0.438672525405168	-0.400591372298972	-0.394708966886383	-0.691306872740559	-0.0899272802403151	-0.579841162818918	-0.229486158279499	-0.228911454655688	-0.263186860830614	-0.611266280571369	-0.579497289439515	-0.237999443901334	-0.230175132234657	-0.791764920663124	-0.218702095635428	-0.260041299381351	-0.227191875226572	-0.317722875174953	-0.212814535100689
Saccharomyces cerevisiae	0.443256846291216	NA	-0.141628551234384	0.773396605904775	0.154346905509101	0.272720426947776	0.636566349136082	0.0902147161583819	0.615323970114623	0.552561038774861	-0.129710241495561	-0.100642935104347	0.220881393284924	-0.0564740784450829	-0.0827456845943277	-0.2673796708761	0.08476297319507	-0.248063911981484	-0.267104824307741	-0.090978038465121	-0.118124218232669	-0.282380046355578	-0.0104475015294258	-0.399727788860279	-0.219100276054792	-0.288939416389418	-0.304429441119207	-0.317280336490035	-0.267925017368267	-0.26917723450333	-0.252174628407121	-0.366215071965195	-0.0810718523660853	-0.041329754302268	-0.220015533190953	-0.244911785879943	-0.133241268461529	-0.375797787589434	-0.113916786984524	-0.271478600072934	-0.179889756398115	-0.054949412459352	0.032014819353309	-0.066269590064099	-0.285875578340839	-0.363143165078772	-0.276129433336197	-0.000501102354839916	-0.0881644486260947	0.638291209082353	-0.176140427092062	-0.2903272122308	-0.26843765819554	-0.277697776516253	-0.269275613184508	-0.197401699923292	0.0937442227451318	-0.270625451902962	-0.212852320029945	-0.08154981636073	-0.139029352746129	-0.000340576082258026	-0.28053729739361	-0.0710271366559057	-0.258665864666135	-0.0848715699535588	-0.0465829419645861	-0.358014568796541	-0.276047667356976	-0.165545409547647	0.0769807258681667	0.0774806008764991	-0.101847789806055	-0.173277787284309	-0.165387517471534	0.0718340775205397	0.0787941118237945	-0.433450716827785	0.0831093681530157	0.0312222333838192	-0.0225463195302244	-0.0796060896857248	0.0864082946812673
Candida albicans	-0.289006011220745	-0.141628551234384	NA	-0.106490236403898	-0.080168066371529	0.0944064536360048	-0.226146113767308	-0.108467596122098	-0.192828010690103	-0.0391470028145801	-0.0403849914886938	-0.0641076351796858	0.086116306718275	-0.0413719841329092	0.085393506444817	-0.0441543551217746	0.0516762030633286	-0.0355660558126508	-0.0383471227623832	-0.0309914176128278	-0.0375694317520257	-0.00798143160057346	-0.0340647953052252	-0.052188046845647	-0.0254194310507519	-0.0438190791600822	-0.0396382810176292	-0.0499853251302669	0.210315613548461	-0.0417570005001869	-0.0424686909140656	-0.0285751115959421	-0.031754395928461	0.0605143174969287	0.140826412666549	0.214477409627462	0.026490095681011	0.0495476883746295	0.0194743027444312	0.00447738376906444	0.985858185595413	0.684306687091789	-0.00156113200933233	-0.0235086840767047	0.878780845930471	0.335450040111222	-0.0207777698243055	-0.0477395563856401	-0.0444628190728631	-0.124939841147501	-0.04792389451032	-0.0588907585873751	-0.00127589333317687	-0.0538431881971178	-0.0508657001864776	-0.0356743532617305	-0.0399973959416414	-0.0447711535968055	0.0894801772842967	0.313338307210573	0.0140055706738394	-0.0108667871727085	-0.0486514808261513	0.0213989887307967	-0.0351386503701811	0.0350586061123502	0.0322604674983244	0.462797133805053	-0.0635478318214249	0.221909292678054	0.0505190795569804	0.050449930190129	-0.03697421628739	0.247569596033493	0.0377715805308612	0.0501104702398352	0.0516007608454509	0.487702308911425	0.051664337906857	-0.0339580242185577	-0.0505557946285232	-0.0564371261358422	0.0523641589412642
Botrytis cinerea	0.456912903553485	0.773396605904775	-0.106490236403898	NA	0.135607121828699	0.669144554696834	0.608267914793099	-0.06577079008964	0.628254967603212	0.831017314279086	-0.0879208290252506	-0.157595831950745	0.0722472770167268	-0.201262327243417	-0.195988248434003	-0.22814756976132	-0.0592605259187202	-0.205963905662157	-0.260199011289457	-0.224818559467783	-0.247809007821238	-0.316615541152587	-0.173327429620129	-0.351229807343757	-0.190730152810948	-0.242654259143864	-0.256907521550121	-0.307432351808146	-0.224250319689432	-0.240725934432959	-0.213958900913814	-0.331517955762453	-0.217005217112368	-0.180609552507321	-0.321347825773459	-0.203353851233335	-0.175575538746155	-0.329944777461454	-0.231706512788075	-0.230769928285592	-0.141812427751368	-0.12773930906277	-0.136634000534544	-0.1997605465468	-0.226684144704125	-0.322190228195072	-0.308140801766493	-0.111365578949864	-0.168940634109675	0.766124180769062	-0.203657448227248	-0.267989527273324	-0.216761734847856	-0.257668048458825	-0.242204545215995	-0.199296126999792	-0.00581951314478234	-0.29157719785785	-0.178422162286047	-0.183226015416306	-0.208910608251146	0.120259598518889	-0.241687645475856	-0.164941813269928	-0.24232739779966	-0.183889906481913	-0.157424395913008	-0.333291575941206	-0.224457389384995	-0.216118366935094	-0.0661136084388951	-0.0661844754132928	-0.181924870505815	-0.254682350597213	-0.26488330785279	-0.0700051140224721	-0.0604870534432173	-0.37533701077915	-0.0619688871952354	-0.18942612071151	-0.0903033894418221	-0.223968602190379	-0.0557501031014426
Thermothielavioides terrestris	-0.0887726381073782	0.154346905509101	-0.080168066371529	0.135607121828699	NA	0.266086722345186	-0.10802145676826	0.762754388837702	-0.045803016453094	0.289482313023455	-0.106048877206658	0.607067031624222	0.0846285574392267	0.693149331418012	-0.0522034978095264	-0.131034577735614	-0.0607272213509296	-0.117153592548926	0.162822452857358	0.722655148583163	0.703081562811083	0.122699481753416	0.803663229171254	-0.0389173753636861	-0.0558104501186141	-0.0139083262215873	-0.0541886258178358	0.0413040955858356	-0.0979649361867791	0.00503735801413973	-0.115201984627887	0.00517334432153787	0.729613191001695	0.817913196377327	0.114641794980574	-0.127013241657827	0.363445816015157	-0.0647269173412838	0.667862043011577	-0.113368359054234	-0.0663305332605104	0.481110770638558	0.817966129003892	0.720723293600982	-0.136275586573657	-0.108115138427485	-0.185450395583455	0.666406227536836	0.0191533698903266	-0.0493974804072593	-0.0693903052282707	-0.0158976319375736	0.0296725653651323	-0.108379123942268	-0.114861904287343	-0.0889386737172923	0.898747730962766	0.28282179472086	-0.0936202216277213	-0.100781798549113	-0.0778941294982045	-0.103297338367347	-0.137644470966871	-0.117079454502556	-0.142301594738881	-0.128815364435569	-0.114588696406861	-0.193274406300532	-0.10904400730035	-0.0941424299036313	-0.0648084603003186	-0.0634279185388906	0.412419611750301	-0.114081163569688	-0.0339357411786468	-0.0666753035368691	-0.0557172521905593	-0.0517319647540025	-0.0637335544829435	0.75977810338968	0.469049619505077	0.595939433149392	-0.0579785374551702
Aspergillus oryzae	0.282865067357383	0.272720426947776	0.0944064536360048	0.669144554696834	0.266086722345186	NA	0.0956443866219409	-0.087904191274948	0.0916424572559209	0.830880138485124	-0.0876000701602992	-0.0720405591266298	-0.0850615016924935	-0.145162185186707	-0.153829184736476	-0.15240447071134	-0.0691160183204797	-0.140823585600137	-0.18002976473429	-0.164272613668699	-0.181097754443696	-0.222209680152117	-0.129009190482229	-0.235842850175493	-0.132244350962252	-0.170571724255282	-0.176872199233395	-0.212532518155022	-0.115630718401528	-0.163416304937029	-0.155224679085798	-0.229381326848762	-0.159119358469604	-0.0988226223373125	-0.222541919575073	-0.0868668499877255	-0.0872490553032998	-0.215766668394883	-0.159650592638354	-0.150031775572063	0.0604596647800648	0.038044945596274	-0.0962925867150761	-0.136518890164073	-0.0166276364133829	-0.16036537358845	-0.229395513255981	-0.155865492092526	-0.100482767012286	0.233060773758798	-0.115921458302601	-0.136282030295179	-0.00258313583007585	-0.178510333800218	-0.165991848603383	-0.105360325618921	0.0718541451099869	-0.204843597433849	-0.106097125727583	-0.104169554874721	-0.166199580475269	0.139493205831576	-0.166812841119145	-0.123743278651537	-0.17174477709776	-0.146409799288383	-0.142575334747487	-0.163810297965106	-0.0157124001426345	-0.104468542812533	-0.0744690859695748	-0.0749557553363682	-0.197279450104941	-0.165559267711942	-0.201383578132001	-0.0766951665671967	-0.0630750635265517	-0.137419351044718	-0.0729978424494343	-0.149277717421368	-0.167090962058275	-0.209048499968184	-0.0640172481611047
Toxoplasma gondii	0.720595111098936	0.636566349136082	-0.226146113767308	0.608267914793099	-0.10802145676826	0.0956443866219409	NA	-0.00471208905996544	0.903839558130755	0.247902563071678	-0.19372466247747	-0.360462633875577	-0.0947963545113864	-0.344237338540972	-0.374207043030251	-0.330030936494781	-0.183788322969264	-0.323915338613958	-0.426291118132439	-0.380210741312515	-0.411245138509058	-0.535047143597303	-0.286398350931583	-0.556645262906734	-0.290744753377256	-0.379134887853439	-0.410699125903377	-0.487446627187794	-0.359503239725728	-0.389457866668365	-0.288998388452476	-0.522805466032629	-0.369520033556511	-0.332912348811145	-0.564308807235707	-0.331035259964008	-0.36231435813557	-0.531920360101876	-0.394818052777051	-0.35473322798116	-0.274885415645247	-0.320776919472018	-0.233654154174498	-0.345826739427211	-0.382282857308179	-0.516080298012653	-0.515589250570097	-0.0571141217063314	0.0470167677099829	0.786291108393135	-0.02288950657174	-0.309643459175154	-0.209288376375999	-0.23217218374641	-0.236001784850819	-0.0535211999383537	-0.211544388153181	-0.472719451599382	-0.274419719635917	-0.390183484029245	-0.385403963692628	-0.0236908529194619	-0.347975567001613	-0.316123651747657	-0.360051137179145	-0.344779145062837	-0.296540808273737	-0.53201734129744	-0.219752822294814	-0.425918439638911	-0.192808919366147	-0.19208439480955	0.00288780251621183	-0.466661108775919	-0.455309311446293	-0.199558996758266	-0.200647176421154	-0.592370704183142	-0.182850593689192	-0.213716969765771	0.0412574582418197	-0.113285190756377	-0.184109981993729
Plasmodium sp. gorilla clade G2	0.0822976944639283	0.0902147161583819	-0.108467596122098	-0.06577079008964	0.762754388837702	-0.087904191274948	-0.00471208905996544	NA	0.103093517493751	-0.0396188674494406	-0.142925000461508	0.381450334791254	0.0375778829874655	0.615197055885971	-0.127174551324956	-0.168725740019418	-0.113256829081463	-0.168329798104767	0.0246167691284472	0.606753590383376	0.586008000371975	-0.01065934301682	0.714306631799899	-0.161503129854412	-0.105553435771985	-0.172057916817349	-0.165705125516047	-0.0568256943337381	-0.147919740590766	-0.0744538049491017	-0.162595767804051	-0.158536111343525	0.615436593646727	0.683746766992257	-0.0300815473952443	-0.150504359088557	0.222380118643582	-0.202584381225014	0.577827858432267	-0.159717891287503	-0.0997155518555304	0.350126068939426	0.747950265341708	0.618576145481016	-0.1996377751309	-0.186073400422437	-0.278916022115124	0.602619432910511	0.108811000126722	-0.100237943437947	0.0542517147053682	-0.0591249410906684	0.0266350055259335	-0.0961003626518531	-0.122582695406883	-0.0330057420987695	0.703155287335257	0.127935917109128	-0.134243028253081	-0.187904881448997	-0.191379863286633	-0.127596969017609	-0.179578764776118	-0.172344136436125	-0.189771896551725	-0.181729232306039	-0.182370655983382	-0.277612116267479	-0.0899109029538558	-0.227297332251737	-0.117392251011016	-0.114782375185475	0.378374760201092	-0.201097201670199	-0.0957084304778537	-0.121415823073746	-0.131362856282257	-0.134877622035461	-0.109950901882341	0.71171139978413	0.41325761583419	0.572981354064671	-0.117368852837136
Trypanosoma brucei	0.645584412286359	0.615323970114623	-0.192828010690103	0.628254967603212	-0.045803016453094	0.0916424572559209	0.903839558130755	0.103093517493751	NA	0.225445254776767	-0.153265197658854	-0.300966650187006	-0.0226133525598449	-0.288064118492213	-0.335138505666257	-0.292929841248366	-0.174133355150296	-0.280886329355477	-0.368778045218072	-0.319969724905205	-0.347596471827627	-0.464869179871029	-0.239551224213872	-0.482402251208625	-0.254326839571543	-0.325092705581012	-0.354041939918701	-0.420318127586801	-0.308407572926309	-0.334505354041008	-0.261358105077633	-0.457913663461481	-0.310368815031878	-0.268716925560521	-0.496054477441902	-0.288438405332102	-0.302085110660914	-0.462614731323134	-0.332676768430965	-0.310321444842338	-0.236531360492732	-0.26563282622955	-0.193007668406145	-0.291859811995394	-0.336147661961268	-0.456900837206005	-0.460719643991041	-0.0981058209295086	-0.142029334183901	0.752439730344678	-0.186830114718902	-0.326035427208127	-0.259918921942677	-0.274754633453395	-0.270049935705763	-0.19220074464815	-0.147487363450222	-0.407513339789603	-0.240634708306637	-0.349896866305198	-0.350766999595097	0.0141835315747586	-0.309621110973476	-0.291355164036292	-0.323161411945214	-0.315595622446515	-0.277952410065151	-0.475151269933479	-0.287639142207837	-0.406470815445791	-0.182127865355801	-0.181430273160251	-0.157836321549212	-0.41777410372994	-0.40522006115387	-0.187830360404662	-0.187907089553807	-0.504949732636935	-0.174398534092117	-0.18112802758749	-0.0493040565483292	-0.216504238503874	-0.173045925921757
Leishmania infantum	0.295484080112114	0.552561038774861	-0.0391470028145801	0.831017314279086	0.289482313023455	0.830880138485124	0.247902563071678	-0.0396188674494406	0.225445254776767	NA	-0.070680598776806	-0.0580914947981668	0.0221468789579578	-0.14752710773737	-0.0873523866686875	-0.151599995339934	0.0126280324158694	-0.14051122299008	-0.175284046160098	-0.167786695421347	-0.183082632296059	-0.201068329482979	-0.133019240522356	-0.236457942401336	-0.131284783147933	-0.168585550687132	-0.173060335705466	-0.207330809734905	-0.147632715433232	-0.163036412330786	-0.136451838390445	-0.218049079901093	-0.162767896619522	-0.10841413158381	-0.182830689591711	-0.124756047005991	-0.111747576943215	-0.214132600003401	-0.171502955295048	-0.15682377252305	-0.0710856330665568	-0.0647842042368721	-0.108169264775995	-0.144488749816761	-0.127727672699576	-0.201521477449235	-0.175464359765304	-0.151424226915739	-0.104170264638631	0.375704830281032	-0.100136012722041	-0.159300945198027	-0.138703727468283	-0.144984851228579	-0.14400222458184	-0.117137249552915	0.063270059600421	-0.200226154010155	-0.119530032953765	-0.0691338621161558	-0.100753558795978	0.0608937984945412	-0.160684453385497	-0.067389691482855	-0.153097942292863	-0.0793640622098327	-0.0596774481440847	-0.194534923745563	-0.143174395323803	-0.0923746130796343	0.00755815941722707	0.00719451310183763	-0.198809221365235	-0.126152100264571	-0.140485365849531	0.00493771871109459	0.0150002056042431	-0.242729518403599	0.0100901037687389	-0.111488715777898	-0.158691442236315	-0.204736589966662	0.0159344472514025
