Species1	Species2	Values
Homo sapiens	Homo sapiens	1
Homo sapiens	Saccharomyces cerevisiae	0.369442876317127
Homo sapiens	Candida albicans	-0.212213821923673
Homo sapiens	Botrytis cinerea	0.437606385431899
Homo sapiens	Thermothielavioides terrestris	-0.0455913628435904
Homo sapiens	Aspergillus oryzae	0.281489959682451
Homo sapiens	Toxoplasma gondii	0.687441577493946
Homo sapiens	Plasmodium sp. gorilla clade G2	-0.0171139690781542
Homo sapiens	Trypanosoma brucei	0.644647200577977
Homo sapiens	Leishmania infantum	0.305366159065453
Homo sapiens	Staphylococcus aureus	-0.40091072543658
Homo sapiens	Priestia aryabhattai	-0.352371442056477
Homo sapiens	Streptococcus pneumoniae	-0.384736679730302
Homo sapiens	Streptococcus thermophilus	-0.586698888858106
Homo sapiens	Streptococcus suis	-0.516198735176255
Homo sapiens	Limosilactobacillus fermentum	-0.29598016410599
Homo sapiens	Enterococcus faecalis	-0.19111547774695
Homo sapiens	Enterococcus faecium	-0.493756380883773
Homo sapiens	Blautia wexlerae	-0.589125229823326
Homo sapiens	Blautia massiliensis	-0.379818820992592
Homo sapiens	Blautia sp. SC05B48	-0.400327005023232
Homo sapiens	Blautia obeum	-0.692803376367396
Homo sapiens	Anaerostipes hadrus	-0.410016048718688
Homo sapiens	[Ruminococcus] torques	-0.664513969424869
Homo sapiens	[Ruminococcus] gnavus	-0.367950478405596
Homo sapiens	[Eubacterium] rectale	-0.508548080340184
Homo sapiens	Anaerobutyricum hallii	-0.46601816991235
Homo sapiens	Coprococcus comes	-0.633813837780394
Homo sapiens	[Clostridium] scindens	-0.512664329554463
Homo sapiens	Dorea longicatena	-0.489653063819382
Homo sapiens	Enterocloster bolteae	-0.283616758300091
Homo sapiens	Oscillospiraceae bacterium	-0.696079694733295
Homo sapiens	Ruminococcus sp. SR1/5	-0.374635788340468
Homo sapiens	Clostridium sp. AWRP	-0.348016962224043
Homo sapiens	Clostridium neonatale	-0.711852299682826
Homo sapiens	Eubacterium callanderi	-0.31616107001385
Homo sapiens	Mogibacterium diversum	-0.292683451466484
Homo sapiens	uncultured Clostridia bacterium	-0.692498137546051
Homo sapiens	Erysipelatoclostridium ramosum	-0.520313684991106
Homo sapiens	[Clostridium] innocuum	-0.448848843677564
Homo sapiens	Erysipelotrichaceae bacterium 66202529	-0.294349355557123
Homo sapiens	Parvimonas micra	-0.217298844697805
Homo sapiens	Actinomyces graevenitzii	-0.387285415544547
Homo sapiens	Schaalia odontolytica	-0.483482822171879
Homo sapiens	Bifidobacterium longum	-0.35420897183507
Homo sapiens	Eggerthella lenta	-0.646224116875044
Homo sapiens	Collinsella aerofaciens	-0.617954421323649
Homo sapiens	Escherichia coli	-0.344488245905126
Homo sapiens	Klebsiella pneumoniae	0.107087128646766
Homo sapiens	Polynucleobacter sp. MG-Unter2-18	0.302768806296673
Homo sapiens	Bacteroides thetaiotaomicron	0.0161983499672506
Homo sapiens	Bacteroides uniformis	-0.202703369830948
Homo sapiens	Phocaeicola dorei	-0.202979072541205
Homo sapiens	Phocaeicola vulgatus	-0.20456339359642
Homo sapiens	Parabacteroides distasonis	-0.250933778497067
Homo sapiens	Parabacteroides merdae	-0.0153695110621306
Homo sapiens	Tepiditoga spiralis	-0.218619659057351
Homo sapiens	uncultured human fecal virus	-0.64361287651391
Homo sapiens	Sellimonas intestinalis	-0.339559415746923
Homo sapiens	Clostridium perfringens	-0.515045759890464
Homo sapiens	Clostridiaceae bacterium Marseille-Q4149	-0.400072619873211
Homo sapiens	Lactococcus lactis	-0.0115653403341256
Homo sapiens	Limosilactobacillus oris	-0.294112479519632
Homo sapiens	Megasphaera massiliensis	-0.391840528846234
Homo sapiens	Bifidobacterium adolescentis	-0.288242657396181
Homo sapiens	Bifidobacterium pseudocatenulatum	-0.292744252265779
Homo sapiens	Bifidobacterium bifidum	-0.267913305345513
Homo sapiens	Collinsella stercoris	-0.569140561398021
Homo sapiens	Bacteroides salyersiae	0.0670871172241569
Homo sapiens	Listeria monocytogenes	-0.273831312192973
Homo sapiens	Streptococcus lutetiensis	-0.19702383581891
Homo sapiens	Streptococcus infantarius	-0.197605354856197
Homo sapiens	Klebsiella oxytoca	-0.269355074095809
Homo sapiens	Christensenella minuta	-0.59241646855816
Homo sapiens	Streptococcus sp. HSISS1	-0.59110655636117
Homo sapiens	Streptococcus equinus	-0.205382673677332
Homo sapiens	Streptococcus gallolyticus	-0.20961994067023
Homo sapiens	Lacticaseibacillus paracasei	-0.640762015515867
Homo sapiens	Limosilactobacillus mucosae	-0.188291346513906
Homo sapiens	Arachnia rubra	-0.279424694579269
Homo sapiens	Citrobacter koseri	-0.307592413079298
Homo sapiens	Klebsiella michiganensis	-0.255765551652232
Homo sapiens	Methanobrevibacter smithii	-0.182206334211955
Saccharomyces cerevisiae	Homo sapiens	0.369442876317127
Saccharomyces cerevisiae	Saccharomyces cerevisiae	1
Saccharomyces cerevisiae	Candida albicans	-0.0254545176882701
Saccharomyces cerevisiae	Botrytis cinerea	0.695156412202756
Saccharomyces cerevisiae	Thermothielavioides terrestris	0.290280206338561
Saccharomyces cerevisiae	Aspergillus oryzae	0.363899762829119
Saccharomyces cerevisiae	Toxoplasma gondii	0.660601014651133
Saccharomyces cerevisiae	Plasmodium sp. gorilla clade G2	0.22233672100679
Saccharomyces cerevisiae	Trypanosoma brucei	0.584496417493093
