Species1	Species2	Values
Homo sapiens	Homo sapiens	0
Homo sapiens	Saccharomyces cerevisiae	0.0171523
Homo sapiens	Candida tropicalis	-0.102126
Homo sapiens	Candida albicans	-0.228189
Homo sapiens	Botrytis cinerea	0.0486073
Homo sapiens	Aspergillus oryzae	0.0335416
Homo sapiens	Toxoplasma gondii	0.0155638
Homo sapiens	Trypanosoma brucei	0.0782053
Homo sapiens	Leishmania infantum	0.0173422
Homo sapiens	Staphylococcus aureus	-0.0530328
Homo sapiens	Streptococcus pneumoniae	-0.147805
Homo sapiens	Streptococcus thermophilus	-0.127485
Homo sapiens	Streptococcus sp. A12	-0.00341751
Homo sapiens	Streptococcus salivarius	-0.049037
Homo sapiens	Streptococcus australis	-0.0104241
Homo sapiens	Streptococcus parasanguinis	-0.0130413
Homo sapiens	Lactococcus piscium	-0.0104981
Homo sapiens	Limosilactobacillus fermentum	0.0436338
Homo sapiens	Latilactobacillus sakei	-0.00546767
Homo sapiens	Leuconostoc carnosum	0.00984367
Homo sapiens	Lactobacillus helveticus	0.00587777
Homo sapiens	Enterococcus faecium	0.133487
Homo sapiens	Abiotrophia defectiva	-0.00616715
Homo sapiens	Blautia wexlerae	0.133072
Homo sapiens	Blautia massiliensis	0.07192
Homo sapiens	Blautia sp. SC05B48	0.0787687
Homo sapiens	Blautia sp. NBRC 113351	0.084939
Homo sapiens	Blautia obeum	0.13746
Homo sapiens	Blautia argi	0.0992116
Homo sapiens	Blautia producta	0.0452811
Homo sapiens	uncultured Blautia sp.	0.11344
Homo sapiens	Anaerostipes hadrus	0.0600488
Homo sapiens	[Ruminococcus] torques	0.151583
Homo sapiens	[Ruminococcus] gnavus	0.21432
Homo sapiens	[Eubacterium] rectale	0.067901
Homo sapiens	Roseburia intestinalis	-0.0364622
Homo sapiens	Roseburia hominis	0.110698
Homo sapiens	Roseburia sp. NSJ-69	-0.0751703
Homo sapiens	Anaerobutyricum hallii	0.17153
Homo sapiens	Coprococcus comes	0.0711318
Homo sapiens	Coprococcus catus	0.112559
Homo sapiens	[Clostridium] scindens	0.0376528
Homo sapiens	[Clostridium] symbiosum	0.139755
Homo sapiens	[Clostridium] hylemonae	-0.0210821
Homo sapiens	Dorea longicatena	0.0583551
Homo sapiens	Lachnospiraceae bacterium	0.114129
Homo sapiens	Lachnospiraceae bacterium GAM79	0.140394
Homo sapiens	Enterocloster bolteae	0.0174001
Homo sapiens	Enterocloster clostridioformis	0.187173
Homo sapiens	Lachnospira eligens	-0.0194664
Homo sapiens	Faecalicatena sp. Marseille-Q4148	0.156769
Homo sapiens	Wansuia hejianensis	0.266304
Homo sapiens	Oscillospiraceae bacterium	0.0858766
Homo sapiens	Ruminococcus sp. SR1/5	0.0720779
Homo sapiens	Faecalibacterium prausnitzii	0.0684608
Homo sapiens	Faecalibacterium sp. IP329	0.062028
Homo sapiens	Faecalibacterium sp. I2392	0.0617756
Homo sapiens	Faecalibacterium sp. I4384	-0.00530988
Homo sapiens	[Eubacterium] siraeum	0.0320201
Homo sapiens	Flavonifractor plautii	0.240488
Homo sapiens	Vescimonas coprocola	0.255635
Homo sapiens	Clostridium sp. M62/1	0.49614
Homo sapiens	Eubacterium callanderi	-0.0424358
Homo sapiens	Eubacterium sp. c-25	0.193606
Homo sapiens	Eubacterium limosum	0.0431048
Homo sapiens	Clostridioides difficile	0.0939887
Homo sapiens	Mogibacterium diversum	0.234648
Homo sapiens	butyrate-producing bacterium SS3/4	-0.0273865
Homo sapiens	uncultured Clostridia bacterium	0.104791
Homo sapiens	Clostridia bacterium UC5.1-1D4	0.0793998
Homo sapiens	Erysipelatoclostridium ramosum	0.0790513
Homo sapiens	[Clostridium] innocuum	0.114735
Homo sapiens	Erysipelotrichaceae bacterium 66202529	-0.129807
Homo sapiens	Longicatena caecimuris	0.386868
Homo sapiens	Faecalitalea cylindroides	0.200072
Homo sapiens	Parvimonas micra	0.144173
Homo sapiens	Lawsonella clevelandensis	0.0285581
Homo sapiens	Actinomyces graevenitzii	-0.0272908
Homo sapiens	Actinomyces naeslundii	-0.0147091
Homo sapiens	Actinomyces sp. oral taxon 414	-0.0109844
Homo sapiens	Actinomyces pacaensis	0.0196393
Homo sapiens	Actinomyces oris	-0.0486614
Homo sapiens	Schaalia odontolytica	0.0155133
Homo sapiens	Pauljensenia hongkongensis	-0.007408
Homo sapiens	Bifidobacterium longum	0.0543712
Homo sapiens	Eggerthella lenta	-0.0122661
Homo sapiens	Adlercreutzia hattorii	0.0963096
Homo sapiens	Adlercreutzia equolifaciens	0.0303539
Homo sapiens	Collinsella aerofaciens	-0.0274356
Homo sapiens	Lancefieldella parvula	-0.078386
Homo sapiens	Escherichia coli	-0.305494
Homo sapiens	Klebsiella pneumoniae	0.175608
