Species1	Species2	Values
Homo sapiens	Homo sapiens	1
Homo sapiens	Saccharomyces cerevisiae	0.284486700906311
Homo sapiens	Candida tropicalis	0.0346339479282437
Homo sapiens	Candida albicans	0.0459063621289796
Homo sapiens	Botrytis cinerea	0.37835391745771
Homo sapiens	Aspergillus oryzae	0.250274023363672
Homo sapiens	Toxoplasma gondii	0.650939912126754
Homo sapiens	Trypanosoma brucei	0.582027891970703
Homo sapiens	Leishmania infantum	0.317083293172579
Homo sapiens	Staphylococcus aureus	-0.429820896346451
Homo sapiens	Streptococcus pneumoniae	-0.407345134309943
Homo sapiens	Streptococcus thermophilus	-0.622346838413806
Homo sapiens	Streptococcus sp. A12	-0.409558389458727
Homo sapiens	Streptococcus salivarius	-0.482356278350601
Homo sapiens	Streptococcus australis	-0.430113530206242
Homo sapiens	Streptococcus parasanguinis	-0.635286829064688
Homo sapiens	Lactococcus piscium	-0.554713039576214
Homo sapiens	Limosilactobacillus fermentum	-0.310176560067108
Homo sapiens	Latilactobacillus sakei	-0.397105675716678
Homo sapiens	Leuconostoc carnosum	-0.419099593367662
Homo sapiens	Lactobacillus helveticus	-0.392968816407289
Homo sapiens	Enterococcus faecium	-0.647832362160931
Homo sapiens	Abiotrophia defectiva	-0.381210269561204
Homo sapiens	Blautia wexlerae	-0.682012033361773
Homo sapiens	Blautia massiliensis	-0.448489649419484
Homo sapiens	Blautia sp. SC05B48	-0.471657002437088
Homo sapiens	Blautia sp. NBRC 113351	-0.483167649950467
Homo sapiens	Blautia obeum	-0.772729539405083
Homo sapiens	Blautia argi	-0.872783274822339
Homo sapiens	Blautia producta	-0.738427700372148
Homo sapiens	uncultured Blautia sp.	-0.881362394569572
Homo sapiens	Anaerostipes hadrus	-0.468104116746983
Homo sapiens	[Ruminococcus] torques	-0.736784087483967
Homo sapiens	[Ruminococcus] gnavus	-0.518937391500537
Homo sapiens	[Eubacterium] rectale	-0.552692719723418
Homo sapiens	Roseburia intestinalis	-0.737121160687293
Homo sapiens	Roseburia hominis	-0.683003008721062
Homo sapiens	Roseburia sp. NSJ-69	-0.779261955112795
Homo sapiens	Anaerobutyricum hallii	-0.510135674130155
Homo sapiens	Coprococcus comes	-0.66325621964973
Homo sapiens	Coprococcus catus	-0.511074759733551
Homo sapiens	[Clostridium] scindens	-0.582600863706656
Homo sapiens	[Clostridium] symbiosum	-0.600525322867447
