Species1	Species2	Values
Homo sapiens	Homo sapiens	1
Homo sapiens	Saccharomyces cerevisiae	0.284486700906311
Homo sapiens	Candida tropicalis	0.0346339479282437
Homo sapiens	Candida dubliniensis	0.509085891368259
Homo sapiens	Candida albicans	0.0459063621289796
Homo sapiens	Botrytis cinerea	0.37835391745771
Homo sapiens	Aspergillus oryzae	0.250274023363672
Homo sapiens	Toxoplasma gondii	0.650939912126754
Homo sapiens	Trypanosoma brucei	0.582027891970703
Homo sapiens	Leishmania infantum	0.317083293172579
Homo sapiens	Staphylococcus aureus	-0.429820896346451
Homo sapiens	Bacillus cereus	-0.340551791183364
Homo sapiens	Streptococcus thermophilus	-0.622346838413806
Homo sapiens	Streptococcus salivarius	-0.482356278350601
Homo sapiens	Limosilactobacillus fermentum	-0.310176560067108
Homo sapiens	Enterococcus faecalis	-0.0542038553101885
Homo sapiens	Enterococcus faecium	-0.647832362160931
Homo sapiens	Blautia wexlerae	-0.682012033361773
Homo sapiens	Blautia massiliensis	-0.448489649419484
Homo sapiens	Blautia sp. SC05B48	-0.471657002437088
Homo sapiens	Blautia sp. NBRC 113351	-0.483167649950467
Homo sapiens	Blautia obeum	-0.772729539405083
Homo sapiens	Blautia argi	-0.872783274822339
Homo sapiens	Anaerostipes hadrus	-0.468104116746983
Homo sapiens	[Ruminococcus] torques	-0.736784087483967
Homo sapiens	[Ruminococcus] gnavus	-0.518937391500537
Homo sapiens	[Eubacterium] rectale	-0.552692719723418
Homo sapiens	Anaerobutyricum hallii	-0.510135674130155
Homo sapiens	Coprococcus comes	-0.66325621964973
Homo sapiens	[Clostridium] scindens	-0.582600863706656
Homo sapiens	[Clostridium] symbiosum	-0.600525322867447
Homo sapiens	Dorea longicatena	-0.535780995901037
Homo sapiens	Lachnospiraceae bacterium	-0.743736177259312
Homo sapiens	Lachnospiraceae bacterium GAM79	-0.668976714714371
Homo sapiens	Enterocloster bolteae	-0.038503621884513
Homo sapiens	Wansuia hejianensis	-0.733361858652553
Homo sapiens	Oscillospiraceae bacterium	-0.741615224614623
Homo sapiens	Ruminococcus sp. SR1/5	-0.444465684657245
Homo sapiens	Faecalibacterium prausnitzii	-0.362667408806349
Homo sapiens	[Eubacterium] siraeum	-0.688886782904123
Homo sapiens	Eubacterium callanderi	-0.19385450873945
Homo sapiens	Clostridioides difficile	-0.896845824353974
