Species1	Species2	Values
Homo sapiens	Homo sapiens	0
Homo sapiens	Saccharomyces cerevisiae	-0.15877
Homo sapiens	Candida tropicalis	-0.174794
Homo sapiens	Candida albicans	0.334912
Homo sapiens	Botrytis cinerea	-0.078559
Homo sapiens	Aspergillus oryzae	-0.032591
Homo sapiens	Toxoplasma gondii	-0.0696552
Homo sapiens	Trypanosoma brucei	-0.0635565
Homo sapiens	Leishmania infantum	0.0215992
Homo sapiens	Staphylococcus aureus	-0.117169
Homo sapiens	Streptococcus pneumoniae	-0.0963994
Homo sapiens	Streptococcus thermophilus	-0.163756
Homo sapiens	Streptococcus sp. A12	-0.101382
Homo sapiens	Streptococcus salivarius	-0.0533712
Homo sapiens	Streptococcus australis	-0.108312
Homo sapiens	Streptococcus parasanguinis	0.0325835
Homo sapiens	Lactococcus piscium	-0.191999
Homo sapiens	Limosilactobacillus fermentum	0.0848925
Homo sapiens	Latilactobacillus sakei	-0.111464
Homo sapiens	Leuconostoc carnosum	-0.119156
Homo sapiens	Lactobacillus helveticus	-0.10045
Homo sapiens	Enterococcus faecium	-0.209045
Homo sapiens	Abiotrophia defectiva	-0.0623045
Homo sapiens	Blautia wexlerae	-0.0908228
Homo sapiens	Blautia massiliensis	0.0802761
Homo sapiens	Blautia sp. SC05B48	0.0990454
Homo sapiens	Blautia sp. NBRC 113351	-0.0821235
Homo sapiens	Blautia obeum	-0.0476963
Homo sapiens	Blautia argi	-0.143615
Homo sapiens	Blautia producta	0.0606025
Homo sapiens	uncultured Blautia sp.	-0.0232662
Homo sapiens	Anaerostipes hadrus	-0.0713933
Homo sapiens	[Ruminococcus] torques	-0.0100138
Homo sapiens	[Ruminococcus] gnavus	-0.120333
Homo sapiens	[Eubacterium] rectale	-0.0239455
Homo sapiens	Roseburia intestinalis	-0.270229
Homo sapiens	Roseburia hominis	0.0427423
Homo sapiens	Roseburia sp. NSJ-69	-0.243868
Homo sapiens	Anaerobutyricum hallii	0.0536535
Homo sapiens	Coprococcus comes	-0.0270147
Homo sapiens	Coprococcus catus	0.00646894
Homo sapiens	[Clostridium] scindens	-0.103463
Homo sapiens	[Clostridium] symbiosum	-0.0359222
Homo sapiens	[Clostridium] hylemonae	-0.106273
Homo sapiens	Dorea longicatena	-0.00763569
Homo sapiens	Lachnospiraceae bacterium	0.00834316
Homo sapiens	Lachnospiraceae bacterium GAM79	0.0728792
Homo sapiens	Enterocloster bolteae	0.364823
Homo sapiens	Enterocloster clostridioformis	0.0210115
Homo sapiens	Lachnospira eligens	-0.154366
Homo sapiens	Faecalicatena sp. Marseille-Q4148	-0.097714
Homo sapiens	Wansuia hejianensis	-0.0723455
Homo sapiens	Oscillospiraceae bacterium	-0.0248458
Homo sapiens	Ruminococcus sp. SR1/5	0.0698304
Homo sapiens	Faecalibacterium prausnitzii	0.0165742
Homo sapiens	Faecalibacterium sp. IP329	0.133267
Homo sapiens	Faecalibacterium sp. I2392	0.0464106
Homo sapiens	Faecalibacterium sp. I4384	-0.0508068
Homo sapiens	[Eubacterium] siraeum	-0.108236
Homo sapiens	Flavonifractor plautii	0.192691
Homo sapiens	Vescimonas coprocola	0.141042
Homo sapiens	Clostridium sp. M62/1	-0.0134928
Homo sapiens	Eubacterium callanderi	0.167313
Homo sapiens	Eubacterium sp. c-25	-0.0573575
Homo sapiens	Eubacterium limosum	0.154895
Homo sapiens	Clostridioides difficile	-0.0924141
Homo sapiens	Mogibacterium diversum	0.0306695
Homo sapiens	butyrate-producing bacterium SS3/4	-0.133632
Homo sapiens	uncultured Clostridia bacterium	-0.0207442
Homo sapiens	Clostridia bacterium UC5.1-1D4	-0.0984622
Homo sapiens	Erysipelatoclostridium ramosum	-0.0323062
Homo sapiens	[Clostridium] innocuum	-0.0672242
Homo sapiens	Erysipelotrichaceae bacterium 66202529	0.231752
Homo sapiens	Longicatena caecimuris	0.355228
Homo sapiens	Faecalitalea cylindroides	-0.0776085
Homo sapiens	Parvimonas micra	0.0857834
Homo sapiens	Lawsonella clevelandensis	-0.0192623
Homo sapiens	Actinomyces graevenitzii	-0.105045
Homo sapiens	Actinomyces naeslundii	-0.107947
Homo sapiens	Actinomyces sp. oral taxon 414	-0.124425
Homo sapiens	Actinomyces pacaensis	-0.0318689
Homo sapiens	Actinomyces oris	-0.063103
Homo sapiens	Schaalia odontolytica	-0.048879
Homo sapiens	Pauljensenia hongkongensis	-0.106756
Homo sapiens	Bifidobacterium longum	0.371528
Homo sapiens	Eggerthella lenta	0.0719951
Homo sapiens	Adlercreutzia hattorii	0.112669
Homo sapiens	Adlercreutzia equolifaciens	-0.00649969
Homo sapiens	Collinsella aerofaciens	0.0892058
Homo sapiens	Lancefieldella parvula	-0.0264045
Homo sapiens	Escherichia coli	-0.0114853
Homo sapiens	Klebsiella pneumoniae	0.0348743
Homo sapiens	Salmonella enterica	-0.159584
Homo sapiens	Polynucleobacter sp. MG-Unter2-18	-0.104093
Homo sapiens	Bacteroides thetaiotaomicron	-0.0286979
Homo sapiens	Bacteroides uniformis	0.166262
Homo sapiens	Bacteroides ovatus	0.169665
Homo sapiens	Bacteroides xylanisolvens	0.172533
Homo sapiens	Bacteroides caccae	-0.0961535
Homo sapiens	Bacteroides fragilis	0.000273309
Homo sapiens	Phocaeicola dorei	-0.115444
Homo sapiens	Phocaeicola vulgatus	0.208656
Homo sapiens	Parabacteroides distasonis	0.169715
Homo sapiens	Parabacteroides merdae	0.0455071
Homo sapiens	Alistipes onderdonkii	0.0465494
Homo sapiens	Alistipes shahii	0.0612293
Homo sapiens	Akkermansia muciniphila	0.190783
Homo sapiens	uncultured human fecal virus	-0.0736513
Homo sapiens	Blautia pseudococcoides	-0.0244207
Homo sapiens	Anaerostipes caccae	-0.0726601
Homo sapiens	Lachnoclostridium sp. YL32	0.2517
Homo sapiens	Lachnoclostridium phocaeense	-0.105103
Homo sapiens	Simiaoa sunii	-0.0943596
Homo sapiens	Sellimonas intestinalis	-0.0618336
Homo sapiens	Dysosmobacter welbionis	0.181705
Homo sapiens	Clostridiaceae bacterium Marseille-Q4149	0.0725719
Homo sapiens	Eubacterium sp. NSJ-61	-0.0196394
Homo sapiens	Massilistercora timonensis	-0.102972
Homo sapiens	Clostridiales bacterium CCNA10	0.113744
Homo sapiens	Geobacillus zalihae	0.274305
Homo sapiens	Streptococcus vestibularis	-0.119567
Homo sapiens	Streptococcus sp. HSISM1	0.123481
Homo sapiens	Streptococcus sp. LPB0220	0.115851
Homo sapiens	Streptococcus sp. HSISS3	0.0137929
Homo sapiens	Streptococcus anginosus	-0.117565
Homo sapiens	Streptococcus mitis	0.320746
Homo sapiens	Streptococcus sanguinis	-0.0176868
Homo sapiens	Streptococcus oralis	0.104451
Homo sapiens	Lactococcus lactis	-0.501211
Homo sapiens	Limosilactobacillus oris	0.120778
Homo sapiens	Lactiplantibacillus plantarum	-0.00915596
Homo sapiens	Lacticaseibacillus rhamnosus	0.338974
Homo sapiens	Faecalibacillus intestinalis	-0.0545052
Homo sapiens	Catenibacterium sp. co_0103	0.0152563
Homo sapiens	Bifidobacterium adolescentis	0.479763
Homo sapiens	Bifidobacterium pseudocatenulatum	0.435382
Homo sapiens	Bifidobacterium breve	-0.0907521
Homo sapiens	Bifidobacterium bifidum	0.397192
Homo sapiens	Bifidobacterium dentium	-0.0923285
Homo sapiens	Actinomyces sp. oral taxon 171	-0.084409
Homo sapiens	Actinomyces sp. oral taxon 169	0.12561
Homo sapiens	Cutibacterium acnes	0.112564
Homo sapiens	Gordonibacter urolithinfaciens	0.0856188
Homo sapiens	Gordonibacter pamelaeae	-0.0134773
Homo sapiens	Bacteroides stercoris	0.1264
Homo sapiens	Bacteroides salyersiae	0.150649
Homo sapiens	Streptococcus lutetiensis	-0.00568168
Homo sapiens	Enterococcus avium	-0.057616
Homo sapiens	Acidaminococcus intestini	0.407816
Homo sapiens	Faecalibacterium sp. IP118	0.155271
Homo sapiens	Ruthenibacterium lactatiformans	0.0841937
Homo sapiens	Streptococcus agalactiae	-0.0794336
Homo sapiens	Actinomyces sp. HMT 175	0.0100091
Homo sapiens	Bacteroides sp. KGMB07931	-0.0238805
Saccharomyces cerevisiae	Homo sapiens	-0.15877
Saccharomyces cerevisiae	Saccharomyces cerevisiae	0
Saccharomyces cerevisiae	Candida tropicalis	-0.397297
Saccharomyces cerevisiae	Candida albicans	0.260276
Saccharomyces cerevisiae	Botrytis cinerea	0.0951817
Saccharomyces cerevisiae	Aspergillus oryzae	0.340525
Saccharomyces cerevisiae	Toxoplasma gondii	0.0161622
Saccharomyces cerevisiae	Trypanosoma brucei	-0.0984432
Saccharomyces cerevisiae	Leishmania infantum	0.177931
Saccharomyces cerevisiae	Staphylococcus aureus	-0.00932983
Saccharomyces cerevisiae	Streptococcus pneumoniae	0.01684
Saccharomyces cerevisiae	Streptococcus thermophilus	0.0993115
Saccharomyces cerevisiae	Streptococcus sp. A12	0.145198
Saccharomyces cerevisiae	Streptococcus salivarius	0.0121502
Saccharomyces cerevisiae	Streptococcus australis	0.136788
Saccharomyces cerevisiae	Streptococcus parasanguinis	0.0819658
Saccharomyces cerevisiae	Lactococcus piscium	0.076836
