Species1	Species2	Values
Homo sapiens	Homo sapiens	1
Homo sapiens	Saccharomyces cerevisiae	0.443256846291216
Homo sapiens	Candida tropicalis	0.209427477863727
Homo sapiens	Candida albicans	-0.289006011220745
Homo sapiens	Botrytis cinerea	0.456912903553485
Homo sapiens	Aspergillus oryzae	0.282865067357383
Homo sapiens	Toxoplasma gondii	0.720595111098936
Homo sapiens	Trypanosoma brucei	0.645584412286359
Homo sapiens	Leishmania infantum	0.295484080112114
Homo sapiens	Staphylococcus aureus	-0.312652248264725
Homo sapiens	Streptococcus pneumoniae	-0.310945746764546
Homo sapiens	Streptococcus thermophilus	-0.458590917389989
Homo sapiens	Streptococcus sp. A12	-0.308176550323097
Homo sapiens	Streptococcus salivarius	-0.428985029714821
Homo sapiens	Streptococcus australis	-0.321801112795718
Homo sapiens	Streptococcus parasanguinis	-0.66787036008583
Homo sapiens	Lactococcus piscium	-0.362714145572126
Homo sapiens	Limosilactobacillus fermentum	-0.395069061902165
Homo sapiens	Latilactobacillus sakei	-0.285642061467031
Homo sapiens	Leuconostoc carnosum	-0.29994341585046
Homo sapiens	Lactobacillus helveticus	-0.29251851293148
Homo sapiens	Enterococcus faecium	-0.438787591187424
Homo sapiens	Abiotrophia defectiva	-0.318905752823396
Homo sapiens	Blautia wexlerae	-0.591189248339173
Homo sapiens	Blautia massiliensis	-0.528765714556651
Homo sapiens	Blautia sp. SC05B48	-0.570702394849344
Homo sapiens	Blautia sp. NBRC 113351	-0.40104413069838
Homo sapiens	Blautia obeum	-0.725033215703542
Homo sapiens	Blautia argi	-0.729168448220478
Homo sapiens	Blautia producta	-0.799030195907358
Homo sapiens	uncultured Blautia sp.	-0.858096235563162
Homo sapiens	Anaerostipes hadrus	-0.396710774178632
Homo sapiens	[Ruminococcus] torques	-0.726770312641142
Homo sapiens	[Ruminococcus] gnavus	-0.398604261787975
Homo sapiens	[Eubacterium] rectale	-0.52874722477294
Homo sapiens	Roseburia intestinalis	-0.466892261923477
Homo sapiens	Roseburia hominis	-0.725745339573066
Homo sapiens	Roseburia sp. NSJ-69	-0.535393906676819
Homo sapiens	Anaerobutyricum hallii	-0.56378917975702
Homo sapiens	Coprococcus comes	-0.636241557304615
Homo sapiens	Coprococcus catus	-0.517543698967618
Homo sapiens	[Clostridium] scindens	-0.479138325794596
Homo sapiens	[Clostridium] symbiosum	-0.564603169686767
Homo sapiens	[Clostridium] hylemonae	-0.694131019058703
Homo sapiens	Dorea longicatena	-0.528145301500765
Homo sapiens	Lachnospiraceae bacterium	-0.752079337690692
Homo sapiens	Lachnospiraceae bacterium GAM79	-0.741855925474845
Homo sapiens	Enterocloster bolteae	-0.403326646360624
Homo sapiens	Enterocloster clostridioformis	-0.754239317946193
Homo sapiens	Lachnospira eligens	-0.497516206698101
Homo sapiens	Faecalicatena sp. Marseille-Q4148	-0.738793309703125
Homo sapiens	Wansuia hejianensis	-0.661016371478575
Homo sapiens	Oscillospiraceae bacterium	-0.716769424192039
Homo sapiens	Ruminococcus sp. SR1/5	-0.514296124357796
Homo sapiens	Faecalibacterium prausnitzii	-0.37924160218339
Homo sapiens	Faecalibacterium sp. IP329	-0.467795782271535
Homo sapiens	Faecalibacterium sp. I2392	-0.372869932781161
Homo sapiens	Faecalibacterium sp. I4384	-0.34700543907929
Homo sapiens	[Eubacterium] siraeum	-0.580651003964356
Homo sapiens	Flavonifractor plautii	-0.613747051279527
Homo sapiens	Vescimonas coprocola	-0.480103767580923
Homo sapiens	Clostridium sp. M62/1	-0.516617723516436
Homo sapiens	Eubacterium callanderi	-0.361167124705978
Homo sapiens	Eubacterium sp. c-25	-0.650243482599945
Homo sapiens	Eubacterium limosum	-0.404352662267289
Homo sapiens	Clostridioides difficile	-0.804431727208505
Homo sapiens	Mogibacterium diversum	-0.462874837262983
Homo sapiens	butyrate-producing bacterium SS3/4	-0.596391522721648
Homo sapiens	uncultured Clostridia bacterium	-0.72804991706226
Homo sapiens	Clostridia bacterium UC5.1-1D4	-0.400784786432217
Homo sapiens	Erysipelatoclostridium ramosum	-0.550331887259232
Homo sapiens	[Clostridium] innocuum	-0.459038679882123
Homo sapiens	Erysipelotrichaceae bacterium 66202529	-0.352007783479099
Homo sapiens	Longicatena caecimuris	-0.614049588867296
Homo sapiens	Faecalitalea cylindroides	-0.570698681070549
Homo sapiens	Parvimonas micra	-0.398372346246302
Homo sapiens	Lawsonella clevelandensis	-0.31852244925526
