Species1	Species2	Values
Homo sapiens	Homo sapiens	1
Homo sapiens	Saccharomyces cerevisiae	0.443256846291216
Homo sapiens	Naumovozyma castellii	0.111206133101458
Homo sapiens	Kluyveromyces marxianus	-0.0144267886465583
Homo sapiens	Candida tropicalis	0.209427477863727
Homo sapiens	Candida dubliniensis	0.139596800541381
Homo sapiens	Candida albicans	-0.289006011220745
Homo sapiens	Yarrowia lipolytica	0.249067984779259
Homo sapiens	Sugiyamaella lignohabitans	0.117206116904143
Homo sapiens	Botrytis cinerea	0.456912903553485
Homo sapiens	Fusarium pseudograminearum	0.0164004562332505
Homo sapiens	Aspergillus oryzae	0.282865067357383
Homo sapiens	Toxoplasma gondii	0.720595111098936
Homo sapiens	Trypanosoma brucei	0.645584412286359
Homo sapiens	Leishmania infantum	0.295484080112114
Homo sapiens	Bacillus cereus	-0.186886771341849
Homo sapiens	Bacillus thuringiensis	-0.260961563501495
Homo sapiens	Amphibacillus xylanus	0.218864937646604
Homo sapiens	Streptococcus thermophilus	-0.458590917389989
Homo sapiens	Streptococcus sp. A12	-0.308176550323097
Homo sapiens	Streptococcus australis	-0.321801112795718
Homo sapiens	Limosilactobacillus fermentum	-0.395069061902165
Homo sapiens	Latilactobacillus sakei	-0.285642061467031
Homo sapiens	Enterococcus faecalis	-0.216590332837949
Homo sapiens	Blautia wexlerae	-0.591189248339173
Homo sapiens	Blautia massiliensis	-0.528765714556651
Homo sapiens	Anaerostipes hadrus	-0.396710774178632
Homo sapiens	[Ruminococcus] torques	-0.726770312641142
Homo sapiens	[Ruminococcus] gnavus	-0.398604261787975
Homo sapiens	[Eubacterium] rectale	-0.52874722477294
Homo sapiens	Roseburia intestinalis	-0.466892261923477
Homo sapiens	Anaerobutyricum hallii	-0.56378917975702
Homo sapiens	Coprococcus comes	-0.636241557304615
Homo sapiens	Coprococcus catus	-0.517543698967618
Homo sapiens	Dorea longicatena	-0.528145301500765
Homo sapiens	Lachnospiraceae bacterium	-0.752079337690692
Homo sapiens	Enterocloster bolteae	-0.403326646360624
Homo sapiens	Oscillospiraceae bacterium	-0.716769424192039
Homo sapiens	Ruminococcus sp. SR1/5	-0.514296124357796
Homo sapiens	Faecalibacterium prausnitzii	-0.37924160218339
Homo sapiens	[Eubacterium] siraeum	-0.580651003964356
Homo sapiens	Eubacterium callanderi	-0.361167124705978
Homo sapiens	Eubacterium limosum	-0.404352662267289
Homo sapiens	uncultured Clostridia bacterium	-0.72804991706226
Homo sapiens	[Clostridium] innocuum	-0.459038679882123
Homo sapiens	Erysipelotrichaceae bacterium 66202529	-0.352007783479099
Homo sapiens	Faecalitalea cylindroides	-0.570698681070549
Homo sapiens	Nocardia gipuzkoensis	0.468948247007479
Homo sapiens	Lawsonella clevelandensis	-0.31852244925526
Homo sapiens	Actinomyces graevenitzii	-0.322456765185073
Homo sapiens	Actinomyces naeslundii	-0.311056826835018
Homo sapiens	Actinomyces pacaensis	-0.378846009596891
Homo sapiens	Bifidobacterium longum	-0.506591548417306
Homo sapiens	Eggerthella lenta	-0.67965133030559
Homo sapiens	Collinsella aerofaciens	-0.656333150578009
Homo sapiens	Legionella pneumophila	0.41950236775821
Homo sapiens	Escherichia coli	-0.284965982401873
Homo sapiens	Klebsiella pneumoniae	0.0318023268561867
Homo sapiens	Salmonella enterica	-0.188893831406741
Homo sapiens	Polynucleobacter sp. MG-Unter2-18	0.389061928543743
Homo sapiens	Granulibacter bethesdensis	0.436400058842548
Homo sapiens	Bacteroides thetaiotaomicron	-0.0182338959450615
Homo sapiens	Phocaeicola vulgatus	-0.32096374279852
Homo sapiens	Parabacteroides distasonis	-0.33957354156913
Homo sapiens	Parabacteroides merdae	-0.0527040397154566
Homo sapiens	Alistipes shahii	-0.388433433127753
Homo sapiens	Akkermansia muciniphila	-0.393318288464359
Homo sapiens	uncultured human fecal virus	-0.653876251344156
Homo sapiens	Geobacillus zalihae	-0.153057849038308
Homo sapiens	Limosilactobacillus oris	-0.422092487874559
Homo sapiens	Bifidobacterium adolescentis	-0.438672525405168
Homo sapiens	Bifidobacterium pseudocatenulatum	-0.400591372298972
Homo sapiens	Bifidobacterium bifidum	-0.394708966886383
Homo sapiens	Prevotella copri	-0.0849692772312088
Homo sapiens	Streptococcus lutetiensis	-0.229486158279499
Homo sapiens	Streptococcus infantarius	-0.228911454655688
Homo sapiens	Acidaminococcus intestini	-0.393450373279022
Homo sapiens	Streptococcus equinus	-0.237999443901334
