Species1	Species2	Values
Homo sapiens	Homo sapiens	1
Homo sapiens	Saccharomyces cerevisiae	0.352290581441203
Homo sapiens	Candida tropicalis	0.15852860997419
Homo sapiens	Candida albicans	0.0159748184907449
Homo sapiens	Botrytis cinerea	0.388999083310842
Homo sapiens	Aspergillus oryzae	0.247948340176834
Homo sapiens	Toxoplasma gondii	0.671877743428794
Homo sapiens	Trypanosoma brucei	0.566441867632398
Homo sapiens	Leishmania infantum	0.288023951788912
Homo sapiens	Staphylococcus aureus	-0.347877929500149
Homo sapiens	Streptococcus pneumoniae	-0.236931881859972
Homo sapiens	Streptococcus thermophilus	-0.459213894337375
Homo sapiens	Streptococcus sp. A12	-0.356885864236575
Homo sapiens	Streptococcus salivarius	-0.418422393351917
Homo sapiens	Streptococcus australis	-0.36950769793021
Homo sapiens	Streptococcus parasanguinis	-0.614594734322556
Homo sapiens	Lactococcus piscium	-0.453441438086902
Homo sapiens	Limosilactobacillus fermentum	-0.339613973507123
Homo sapiens	Latilactobacillus sakei	-0.338813872276721
Homo sapiens	Leuconostoc carnosum	-0.356943582265167
Homo sapiens	Lactobacillus helveticus	-0.346805103442726
Homo sapiens	Enterococcus faecium	-0.627243779526631
Homo sapiens	Abiotrophia defectiva	-0.344581794459456
Homo sapiens	Blautia wexlerae	-0.722197358485218
Homo sapiens	Blautia massiliensis	-0.451738866313716
Homo sapiens	Blautia sp. SC05B48	-0.479095711523192
Homo sapiens	Blautia sp. NBRC 113351	-0.503575036923866
Homo sapiens	Blautia obeum	-0.830262955357986
Homo sapiens	Blautia argi	-0.865226434354593
Homo sapiens	Blautia producta	-0.803589196471124
Homo sapiens	uncultured Blautia sp.	-0.935707788548525
Homo sapiens	Anaerostipes hadrus	-0.470064871241043
Homo sapiens	[Ruminococcus] torques	-0.816096519438743
Homo sapiens	[Ruminococcus] gnavus	-0.582270708978637
Homo sapiens	[Eubacterium] rectale	-0.576449078529126
Homo sapiens	Roseburia intestinalis	-0.563908146243998
Homo sapiens	Roseburia hominis	-0.776106116505644
Homo sapiens	Roseburia sp. NSJ-69	-0.619375466600295
Homo sapiens	Anaerobutyricum hallii	-0.637548497088579
Homo sapiens	Coprococcus comes	-0.704945595278794
Homo sapiens	Coprococcus catus	-0.58192490985145
Homo sapiens	[Clostridium] scindens	-0.550317092688057
Homo sapiens	[Clostridium] symbiosum	-0.600280087994576
Homo sapiens	[Clostridium] hylemonae	-0.779720159844799
Homo sapiens	Dorea longicatena	-0.548008203145719
Homo sapiens	Lachnospiraceae bacterium	-0.805288807367679
Homo sapiens	Lachnospiraceae bacterium GAM79	-0.785633591613861
Homo sapiens	Enterocloster bolteae	-0.301016813634912
Homo sapiens	Enterocloster clostridioformis	-0.828157572332623
Homo sapiens	Lachnospira eligens	-0.567526066288919
Homo sapiens	Faecalicatena sp. Marseille-Q4148	-0.881119341716262
Homo sapiens	Wansuia hejianensis	-0.837763943339353
Homo sapiens	Oscillospiraceae bacterium	-0.781956339619564
Homo sapiens	Ruminococcus sp. SR1/5	-0.446713737321988
Homo sapiens	Faecalibacterium prausnitzii	-0.418615748172969
Homo sapiens	Faecalibacterium sp. IP329	-0.459328465481465
Homo sapiens	Faecalibacterium sp. I2392	-0.401113751560637
Homo sapiens	Faecalibacterium sp. I4384	-0.386147252873644
Homo sapiens	[Eubacterium] siraeum	-0.654195863517323
Homo sapiens	Flavonifractor plautii	-0.694230676012962
Homo sapiens	Vescimonas coprocola	-0.556324957380179
Homo sapiens	Clostridium sp. M62/1	-0.778029040363513
Homo sapiens	Eubacterium callanderi	-0.273725230645096
Homo sapiens	Eubacterium sp. c-25	-0.791787694366522
Homo sapiens	Eubacterium limosum	-0.394235482134791
Homo sapiens	Clostridioides difficile	-0.902002237279301
Homo sapiens	Mogibacterium diversum	-0.527331414510417
Homo sapiens	butyrate-producing bacterium SS3/4	-0.651732920055199
Homo sapiens	uncultured Clostridia bacterium	-0.797289020396837
Homo sapiens	Clostridia bacterium UC5.1-1D4	-0.508257532299718
Homo sapiens	Erysipelatoclostridium ramosum	-0.599364971815889
Homo sapiens	[Clostridium] innocuum	-0.563584165729913
Homo sapiens	Erysipelotrichaceae bacterium 66202529	-0.164542194216194
Homo sapiens	Longicatena caecimuris	-0.629636514910722
Homo sapiens	Faecalitalea cylindroides	-0.641332086878461
Homo sapiens	Parvimonas micra	-0.361472062402307
Homo sapiens	Lawsonella clevelandensis	-0.339977478688042
Homo sapiens	Actinomyces graevenitzii	-0.35999463529123
Homo sapiens	Actinomyces naeslundii	-0.35635313031987
Homo sapiens	Actinomyces sp. oral taxon 414	-0.359281708713822
Homo sapiens	Actinomyces pacaensis	-0.411311850006014
Homo sapiens	Actinomyces oris	-0.626076134712463
Homo sapiens	Schaalia odontolytica	-0.49899607696651
Homo sapiens	Pauljensenia hongkongensis	-0.352703497484383
Homo sapiens	Bifidobacterium longum	-0.408580219110753
Homo sapiens	Eggerthella lenta	-0.63395805834955
Homo sapiens	Adlercreutzia hattorii	-0.680404152341576
Homo sapiens	Adlercreutzia equolifaciens	-0.517583755034794
Homo sapiens	Collinsella aerofaciens	-0.590518812526648
Homo sapiens	Lancefieldella parvula	-0.427230765019397
Homo sapiens	Escherichia coli	-0.0389939355759561
Homo sapiens	Klebsiella pneumoniae	-0.0685206577123251
Homo sapiens	Salmonella enterica	-0.0485963785255758
Homo sapiens	Polynucleobacter sp. MG-Unter2-18	0.340531684184017
Homo sapiens	Bacteroides thetaiotaomicron	-0.282300006496958
Homo sapiens	Bacteroides uniformis	-0.242855865314257
Homo sapiens	Bacteroides ovatus	-0.211968903339017
Homo sapiens	Bacteroides xylanisolvens	-0.264795184754676
Homo sapiens	Bacteroides caccae	-0.260782452935752
Homo sapiens	Bacteroides fragilis	-0.251487863083712
Homo sapiens	Phocaeicola dorei	-0.011599177580632
Homo sapiens	Phocaeicola vulgatus	-0.266056294079259
Homo sapiens	Parabacteroides distasonis	-0.279552678543039
Homo sapiens	Parabacteroides merdae	0.0101284826839231
Homo sapiens	Alistipes onderdonkii	-0.279162085303543
Homo sapiens	Alistipes shahii	-0.298833609902751
Homo sapiens	Akkermansia muciniphila	-0.293957295862458
Homo sapiens	uncultured human fecal virus	-0.763189672364102
Homo sapiens	Blautia pseudococcoides	-0.854031291042685
Homo sapiens	Anaerostipes caccae	-0.532362400975669
Homo sapiens	Lachnoclostridium sp. YL32	-0.706491803197073
Homo sapiens	Lachnoclostridium phocaeense	-0.53781366837717
Homo sapiens	Simiaoa sunii	-0.791545855186041
Homo sapiens	Sellimonas intestinalis	-0.491710487593639
Homo sapiens	Dysosmobacter welbionis	-0.677654950717734
Homo sapiens	Clostridiaceae bacterium Marseille-Q4149	-0.568565690455463
Homo sapiens	Eubacterium sp. NSJ-61	-0.752280021155131
Homo sapiens	Massilistercora timonensis	-0.541195930389288
Homo sapiens	Clostridiales bacterium CCNA10	-0.869491559264883
Homo sapiens	Geobacillus zalihae	0.090310338888585
Homo sapiens	Streptococcus vestibularis	-0.366473730558555
Homo sapiens	Streptococcus sp. HSISM1	-0.641122644781034
Homo sapiens	Streptococcus sp. LPB0220	-0.662371131209047
Homo sapiens	Streptococcus sp. HSISS3	-0.401108007129526
Homo sapiens	Streptococcus anginosus	-0.443716280438997
Homo sapiens	Streptococcus mitis	-0.420198585496749
Homo sapiens	Streptococcus sanguinis	-0.597112970933054
Homo sapiens	Streptococcus oralis	-0.647671405013221
Homo sapiens	Lactococcus lactis	-0.559210611978652
Homo sapiens	Limosilactobacillus oris	-0.334990762553174
Homo sapiens	Lactiplantibacillus plantarum	-0.0662115381761481
Homo sapiens	Lacticaseibacillus rhamnosus	-0.0696469840381534
Homo sapiens	Faecalibacillus intestinalis	-0.561995632418424
Homo sapiens	Catenibacterium sp. co_0103	-0.634880543227162
Homo sapiens	Bifidobacterium adolescentis	-0.307782446941189
Homo sapiens	Bifidobacterium pseudocatenulatum	-0.302066650361754
Homo sapiens	Bifidobacterium breve	-0.404621580155643
Homo sapiens	Bifidobacterium bifidum	-0.303843734460639
Homo sapiens	Bifidobacterium dentium	-0.504433120242588
Homo sapiens	Actinomyces sp. oral taxon 171	-0.504801893920667
Homo sapiens	Actinomyces sp. oral taxon 169	-0.730032258409934
Homo sapiens	Cutibacterium acnes	0.0648146101206965
Homo sapiens	Gordonibacter urolithinfaciens	-0.792539647717935
Homo sapiens	Gordonibacter pamelaeae	-0.754488740071108
Homo sapiens	Bacteroides stercoris	-0.289704469558527
Homo sapiens	Bacteroides salyersiae	-0.0235201018710046
