Species1	Species2	Values
Homo sapiens	Homo sapiens	1
Homo sapiens	Saccharomyces cerevisiae	0.352290581441203
Homo sapiens	Naumovozyma castellii	0.480057355773818
Homo sapiens	Candida tropicalis	0.15852860997419
Homo sapiens	Candida dubliniensis	0.540559493285675
Homo sapiens	Candida albicans	0.0159748184907449
Homo sapiens	Botrytis cinerea	0.388999083310842
Homo sapiens	Aspergillus oryzae	0.247948340176834
Homo sapiens	Toxoplasma gondii	0.671877743428794
Homo sapiens	Trypanosoma brucei	0.566441867632398
Homo sapiens	Leishmania infantum	0.288023951788912
Homo sapiens	Staphylococcus aureus	-0.347877929500149
Homo sapiens	Streptococcus pneumoniae	-0.236931881859972
Homo sapiens	Streptococcus thermophilus	-0.459213894337375
Homo sapiens	Streptococcus salivarius	-0.418422393351917
Homo sapiens	Limosilactobacillus fermentum	-0.339613973507123
Homo sapiens	Enterococcus faecium	-0.627243779526631
Homo sapiens	Blautia wexlerae	-0.722197358485218
Homo sapiens	Blautia massiliensis	-0.451738866313716
Homo sapiens	Blautia sp. SC05B48	-0.479095711523192
Homo sapiens	Blautia sp. NBRC 113351	-0.503575036923866
Homo sapiens	Blautia obeum	-0.830262955357986
Homo sapiens	Anaerostipes hadrus	-0.470064871241043
Homo sapiens	[Ruminococcus] torques	-0.816096519438743
Homo sapiens	[Ruminococcus] gnavus	-0.582270708978637
Homo sapiens	[Eubacterium] rectale	-0.576449078529126
Homo sapiens	Roseburia intestinalis	-0.563908146243998
Homo sapiens	Anaerobutyricum hallii	-0.637548497088579
Homo sapiens	Coprococcus comes	-0.704945595278794
Homo sapiens	[Clostridium] scindens	-0.550317092688057
Homo sapiens	Dorea longicatena	-0.548008203145719
Homo sapiens	Enterocloster bolteae	-0.301016813634912
Homo sapiens	Oscillospiraceae bacterium	-0.781956339619564
Homo sapiens	Ruminococcus sp. SR1/5	-0.446713737321988
Homo sapiens	Faecalibacterium prausnitzii	-0.418615748172969
Homo sapiens	Faecalibacterium sp. IP329	-0.459328465481465
Homo sapiens	Faecalibacterium sp. I2392	-0.401113751560637
Homo sapiens	Faecalibacterium sp. I4384	-0.386147252873644
Homo sapiens	Faecalibacterium sp. I4179	-0.487933343189454
Homo sapiens	Eubacterium callanderi	-0.273725230645096
Homo sapiens	Mogibacterium diversum	-0.527331414510417
Homo sapiens	uncultured Clostridia bacterium	-0.797289020396837
Homo sapiens	Clostridia bacterium UC5.1-1D4	-0.508257532299718
Homo sapiens	Erysipelatoclostridium ramosum	-0.599364971815889
Homo sapiens	[Clostridium] innocuum	-0.563584165729913
Homo sapiens	Erysipelotrichaceae bacterium 66202529	-0.164542194216194
Homo sapiens	Nocardia gipuzkoensis	0.446821873377678
Homo sapiens	Actinomyces pacaensis	-0.411311850006014
Homo sapiens	Schaalia odontolytica	-0.49899607696651
Homo sapiens	Bifidobacterium longum	-0.408580219110753
Homo sapiens	Eggerthella lenta	-0.63395805834955
Homo sapiens	Adlercreutzia hattorii	-0.680404152341576
Homo sapiens	Adlercreutzia equolifaciens	-0.517583755034794
Homo sapiens	Collinsella aerofaciens	-0.590518812526648
Homo sapiens	Legionella pneumophila	0.371918305200401
Homo sapiens	Escherichia coli	-0.0389939355759561
Homo sapiens	Salmonella enterica	-0.0485963785255758
Homo sapiens	Polynucleobacter sp. MG-Unter2-18	0.340531684184017
Homo sapiens	Granulibacter bethesdensis	0.431865796514337
Homo sapiens	Bacteroides thetaiotaomicron	-0.282300006496958
Homo sapiens	Phocaeicola dorei	-0.011599177580632
Homo sapiens	Parabacteroides distasonis	-0.279552678543039
Homo sapiens	Parabacteroides merdae	0.0101284826839231
Homo sapiens	uncultured human fecal virus	-0.763189672364102
Homo sapiens	Anaerostipes caccae	-0.532362400975669
Homo sapiens	Sellimonas intestinalis	-0.491710487593639
Homo sapiens	Faecalibacterium sp. HTFF	-0.421426650493218
Homo sapiens	Faecalibacterium sp. I3389	-0.491809690744166
Homo sapiens	Faecalibacterium sp. I3333	-0.481062091349545
Homo sapiens	Streptococcus vestibularis	-0.366473730558555
Homo sapiens	Lactiplantibacillus plantarum	-0.0662115381761481
Homo sapiens	Bifidobacterium breve	-0.404621580155643
Homo sapiens	Bifidobacterium dentium	-0.504433120242588
Homo sapiens	Streptococcus lutetiensis	-0.206200528796994
Homo sapiens	Acidaminococcus intestini	-0.299095705349115
Homo sapiens	Gardnerella vaginalis	0.0654969785870486
Homo sapiens	Faecalibacterium sp. IP118	-0.410393838728888
Homo sapiens	Ruthenibacterium lactatiformans	-0.562908508436518
Homo sapiens	Bifidobacterium pullorum	-0.371901261375095
Homo sapiens	Shigella flexneri	-0.00630354863285818
Homo sapiens	Campylobacter coli	-0.467443578211959
Saccharomyces cerevisiae	Homo sapiens	0.352290581441203
Saccharomyces cerevisiae	Saccharomyces cerevisiae	1
Saccharomyces cerevisiae	Naumovozyma castellii	0.56937199647549
Saccharomyces cerevisiae	Candida tropicalis	0.275683853136009
Saccharomyces cerevisiae	Candida dubliniensis	0.560693021545651
Saccharomyces cerevisiae	Candida albicans	-0.114006421336854
Saccharomyces cerevisiae	Botrytis cinerea	0.872786412173594
Saccharomyces cerevisiae	Aspergillus oryzae	0.550444584997943
Saccharomyces cerevisiae	Toxoplasma gondii	0.607658813028016
Saccharomyces cerevisiae	Trypanosoma brucei	0.519648251092233
Saccharomyces cerevisiae	Leishmania infantum	0.739092902740229
Saccharomyces cerevisiae	Staphylococcus aureus	-0.0430279640219125
Saccharomyces cerevisiae	Streptococcus pneumoniae	0.311604382858223
Saccharomyces cerevisiae	Streptococcus thermophilus	0.0619391121682582
Saccharomyces cerevisiae	Streptococcus salivarius	-0.173783044666615
Saccharomyces cerevisiae	Limosilactobacillus fermentum	-0.167954025187157
Saccharomyces cerevisiae	Enterococcus faecium	-0.287307401778871
Saccharomyces cerevisiae	Blautia wexlerae	-0.202319370510085
Saccharomyces cerevisiae	Blautia massiliensis	0.0654993248014091
Saccharomyces cerevisiae	Blautia sp. SC05B48	0.0543510856266549
Saccharomyces cerevisiae	Blautia sp. NBRC 113351	-0.234888038468977
Saccharomyces cerevisiae	Blautia obeum	-0.195996710612089
Saccharomyces cerevisiae	Anaerostipes hadrus	0.0700027319346403
Saccharomyces cerevisiae	[Ruminococcus] torques	-0.308761490922677
Saccharomyces cerevisiae	[Ruminococcus] gnavus	-0.26348676296142
Saccharomyces cerevisiae	[Eubacterium] rectale	-0.241889086256196
Saccharomyces cerevisiae	Roseburia intestinalis	-0.245952211369185
Saccharomyces cerevisiae	Anaerobutyricum hallii	-0.261055332115236
Saccharomyces cerevisiae	Coprococcus comes	-0.226141130834232
Saccharomyces cerevisiae	[Clostridium] scindens	-0.215351322481835
Saccharomyces cerevisiae	Dorea longicatena	-0.20203511717394
Saccharomyces cerevisiae	Enterocloster bolteae	-0.162017532215058
Saccharomyces cerevisiae	Oscillospiraceae bacterium	-0.302650980053661
Saccharomyces cerevisiae	Ruminococcus sp. SR1/5	0.0698106459314124
Saccharomyces cerevisiae	Faecalibacterium prausnitzii	-0.182097447824626
Saccharomyces cerevisiae	Faecalibacterium sp. IP329	-0.207185076673449
Saccharomyces cerevisiae	Faecalibacterium sp. I2392	-0.178289043800179
Saccharomyces cerevisiae	Faecalibacterium sp. I4384	-0.18108148277542
Saccharomyces cerevisiae	Faecalibacterium sp. I4179	-0.201756323186242
Saccharomyces cerevisiae	Eubacterium callanderi	-0.135728835896006
Saccharomyces cerevisiae	Mogibacterium diversum	-0.0323075483670755
Saccharomyces cerevisiae	uncultured Clostridia bacterium	-0.318790187959204
Saccharomyces cerevisiae	Clostridia bacterium UC5.1-1D4	-0.238012702190705
Saccharomyces cerevisiae	Erysipelatoclostridium ramosum	-0.00703500593491926
Saccharomyces cerevisiae	[Clostridium] innocuum	-0.260279716398142
Saccharomyces cerevisiae	Erysipelotrichaceae bacterium 66202529	-0.18866100933849
Saccharomyces cerevisiae	Nocardia gipuzkoensis	0.724727121448707
Saccharomyces cerevisiae	Actinomyces pacaensis	0.0891428350802988
Saccharomyces cerevisiae	Schaalia odontolytica	0.0424031308265067
Saccharomyces cerevisiae	Bifidobacterium longum	-0.275874190809897
Saccharomyces cerevisiae	Eggerthella lenta	-0.279689788993964
Saccharomyces cerevisiae	Adlercreutzia hattorii	-0.30512578347773
Saccharomyces cerevisiae	Adlercreutzia equolifaciens	-0.22635550570191
Saccharomyces cerevisiae	Collinsella aerofaciens	-0.268015605507009
Saccharomyces cerevisiae	Legionella pneumophila	0.759838289692058
Saccharomyces cerevisiae	Escherichia coli	-0.0664519908454942
