Species1	Species2	Values
Homo sapiens	Homo sapiens	1
Homo sapiens	Saccharomyces cerevisiae	0.369442876317127
Homo sapiens	Candida tropicalis	0.0564023138381108
Homo sapiens	Candida albicans	-0.212213821923673
Homo sapiens	Botrytis cinerea	0.437606385431899
Homo sapiens	Aspergillus oryzae	0.281489959682451
Homo sapiens	Toxoplasma gondii	0.687441577493946
Homo sapiens	Trypanosoma brucei	0.644647200577977
Homo sapiens	Leishmania infantum	0.305366159065453
Homo sapiens	Staphylococcus aureus	-0.40091072543658
Homo sapiens	Streptococcus pneumoniae	-0.384736679730302
Homo sapiens	Streptococcus thermophilus	-0.586698888858106
Homo sapiens	Streptococcus sp. A12	-0.360303374198793
Homo sapiens	Streptococcus salivarius	-0.467459437716876
Homo sapiens	Streptococcus australis	-0.379931841722045
Homo sapiens	Streptococcus parasanguinis	-0.627635988587259
Homo sapiens	Lactococcus piscium	-0.463939510854558
Homo sapiens	Limosilactobacillus fermentum	-0.29598016410599
Homo sapiens	Latilactobacillus sakei	-0.344281543761212
Homo sapiens	Leuconostoc carnosum	-0.34709991581022
Homo sapiens	Lactobacillus helveticus	-0.340927334268063
Homo sapiens	Enterococcus faecium	-0.493756380883773
Homo sapiens	Abiotrophia defectiva	-0.350748941473477
Homo sapiens	Blautia wexlerae	-0.589125229823326
Homo sapiens	Blautia massiliensis	-0.379818820992592
Homo sapiens	Blautia sp. SC05B48	-0.400327005023232
Homo sapiens	Blautia sp. NBRC 113351	-0.418636032932714
Homo sapiens	Blautia obeum	-0.692803376367396
Homo sapiens	Blautia argi	-0.76601480670802
Homo sapiens	Blautia producta	-0.75830806182562
Homo sapiens	uncultured Blautia sp.	-0.822267735679397
Homo sapiens	Anaerostipes hadrus	-0.410016048718688
Homo sapiens	[Ruminococcus] torques	-0.664513969424869
Homo sapiens	[Ruminococcus] gnavus	-0.367950478405596
Homo sapiens	[Eubacterium] rectale	-0.508548080340184
Homo sapiens	Roseburia intestinalis	-0.600370350622351
Homo sapiens	Roseburia hominis	-0.665407945980674
Homo sapiens	Roseburia sp. NSJ-69	-0.694545742595789
Homo sapiens	Anaerobutyricum hallii	-0.46601816991235
Homo sapiens	Coprococcus comes	-0.633813837780394
Homo sapiens	Coprococcus catus	-0.469365551283812
Homo sapiens	[Clostridium] scindens	-0.512664329554463
Homo sapiens	[Clostridium] symbiosum	-0.460525551501136
Homo sapiens	[Clostridium] hylemonae	-0.800802226964103
Homo sapiens	Dorea longicatena	-0.489653063819382
Homo sapiens	Lachnospiraceae bacterium	-0.691159801853725
Homo sapiens	Lachnospiraceae bacterium GAM79	-0.645239157810158
Homo sapiens	Enterocloster bolteae	-0.283616758300091
Homo sapiens	Enterocloster clostridioformis	-0.640984989362352
Homo sapiens	Lachnospira eligens	-0.586992503295147
Homo sapiens	Faecalicatena sp. Marseille-Q4148	-0.724350246737396
Homo sapiens	Wansuia hejianensis	-0.57146030546653
Homo sapiens	Oscillospiraceae bacterium	-0.696079694733295
Homo sapiens	Ruminococcus sp. SR1/5	-0.374635788340468
Homo sapiens	Faecalibacterium prausnitzii	-0.350154913384434
Homo sapiens	Faecalibacterium sp. IP329	-0.397300424650196
Homo sapiens	Faecalibacterium sp. I2392	-0.339338172884503
Homo sapiens	Faecalibacterium sp. I4384	-0.391457136584338
Homo sapiens	[Eubacterium] siraeum	-0.622175798048538
Homo sapiens	Flavonifractor plautii	-0.45374235295103
Homo sapiens	Vescimonas coprocola	-0.300690316398321
Homo sapiens	Clostridium sp. M62/1	-0.281888634348204
Homo sapiens	Eubacterium callanderi	-0.31616107001385
Homo sapiens	Eubacterium sp. c-25	-0.598182038103097
Homo sapiens	Eubacterium limosum	-0.351130643088323
Homo sapiens	Clostridioides difficile	-0.808013494681391
Homo sapiens	Mogibacterium diversum	-0.292683451466484
Homo sapiens	butyrate-producing bacterium SS3/4	-0.679119373953057
Homo sapiens	uncultured Clostridia bacterium	-0.692498137546051
Homo sapiens	Clostridia bacterium UC5.1-1D4	-0.428857766700562
Homo sapiens	Erysipelatoclostridium ramosum	-0.520313684991106
Homo sapiens	[Clostridium] innocuum	-0.448848843677564
Homo sapiens	Erysipelotrichaceae bacterium 66202529	-0.294349355557123
Homo sapiens	Longicatena caecimuris	-0.242768904441063
Homo sapiens	Faecalitalea cylindroides	-0.441259802496282
Homo sapiens	Parvimonas micra	-0.217298844697805
Homo sapiens	Lawsonella clevelandensis	-0.311419328704926
Homo sapiens	Actinomyces graevenitzii	-0.387285415544547
Homo sapiens	Actinomyces naeslundii	-0.371062255282908
Homo sapiens	Actinomyces sp. oral taxon 414	-0.370266127152067
Homo sapiens	Actinomyces pacaensis	-0.391672573288908
Homo sapiens	Actinomyces oris	-0.67473756279828
Homo sapiens	Schaalia odontolytica	-0.483482822171879
Homo sapiens	Pauljensenia hongkongensis	-0.360111497782011
Homo sapiens	Bifidobacterium longum	-0.35420897183507
Homo sapiens	Eggerthella lenta	-0.646224116875044
Homo sapiens	Adlercreutzia hattorii	-0.584094540939628
Homo sapiens	Adlercreutzia equolifaciens	-0.487229819170452
Homo sapiens	Collinsella aerofaciens	-0.617954421323649
Homo sapiens	Lancefieldella parvula	-0.505616757854235
Homo sapiens	Escherichia coli	-0.344488245905126
Homo sapiens	Klebsiella pneumoniae	0.107087128646766
Homo sapiens	Salmonella enterica	-0.489981454240464
